FAR,FRR,FRR_Conf,Fold,MeanNumOfAttData,Module,NumOfAcceptTL,NumOfOrgUserTstData,NumOfUnlocks,OriginalUser
0.2878787878787879,0.4827586206896552,0.0,f7,201.68,gyr,4.0,29.0,0.0,d99p79w
0.30303030303030304,0.5517241379310345,0.0,f8,201.68,gyr,4.0,29.0,0.0,d99p79w
0.2878787878787879,0.5517241379310345,0.034482758620689655,f9,201.68,gyr,4.0,29.0,1.0,d99p79w
0.2861635220125786,0.5333333333333333,0.0,f0,1551.22,ges,57.0,45.0,0.0,d99p79w
0.2830188679245283,0.6,0.0,f1,1551.22,ges,57.0,45.0,0.0,d99p79w
0.2610062893081761,0.4222222222222222,0.0,f2,1551.22,ges,57.0,45.0,0.0,d99p79w
0.2830188679245283,0.4,0.0,f3,1551.22,ges,57.0,45.0,0.0,d99p79w
0.2861635220125786,0.6,0.0,f4,1551.22,ges,57.0,45.0,0.0,d99p79w
0.2830188679245283,0.5111111111111111,0.0,f5,1551.22,ges,57.0,45.0,0.0,d99p79w
0.27358490566037735,0.5111111111111111,0.0,f6,1551.22,ges,57.0,45.0,0.0,d99p79w
0.2830188679245283,0.6,0.0,f7,1551.22,ges,57.0,45.0,0.0,d99p79w
0.2830188679245283,0.38636363636363635,0.0,f8,1551.22,ges,57.0,44.0,0.0,d99p79w
0.279874213836478,0.4090909090909091,0.0,f9,1551.22,ges,57.0,44.0,0.0,d99p79w
0.015151515151515152,0.43333333333333335,0.0,f0,201.28,ttl,4.0,30.0,0.0,d99p79w
0.015151515151515152,0.4482758620689655,0.0,f1,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.3793103448275862,0.0,f2,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.4482758620689655,0.0,f3,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.3448275862068966,0.0,f4,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.4482758620689655,0.0,f5,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.3103448275862069,0.0,f6,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.4827586206896552,0.0,f7,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.3103448275862069,0.0,f8,201.28,ttl,4.0,29.0,0.0,d99p79w
0.015151515151515152,0.4482758620689655,0.0,f9,201.28,ttl,4.0,29.0,0.0,d99p79w
0.10606060606060606,0.5454545454545454,0.0,f0,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.45454545454545453,0.0,f1,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.36363636363636365,0.0,f2,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.36363636363636365,0.0,f3,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.45454545454545453,0.0,f4,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.5454545454545454,0.0,f5,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.36363636363636365,0.0,f6,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.5454545454545454,0.0,f7,207.9,acc,16.0,11.0,0.0,677l8bq
0.10606060606060606,0.5,0.0,f8,207.9,acc,16.0,10.0,0.0,677l8bq
0.10606060606060606,0.6,0.0,f9,207.9,acc,16.0,10.0,0.0,677l8bq
0.3333333333333333,0.6363636363636364,0.0,f0,205.34,gyr,4.0,11.0,0.0,677l8bq
0.2878787878787879,0.45454545454545453,0.0,f1,205.34,gyr,4.0,11.0,0.0,677l8bq
0.3181818181818182,0.5454545454545454,0.0,f2,205.34,gyr,4.0,11.0,0.0,677l8bq
0.25757575757575757,0.5454545454545454,0.0,f3,205.34,gyr,4.0,11.0,0.0,677l8bq
0.3333333333333333,0.7272727272727273,0.0,f4,205.34,gyr,4.0,11.0,0.0,677l8bq
0.22727272727272727,0.36363636363636365,0.0,f5,205.34,gyr,4.0,11.0,0.0,677l8bq
0.22727272727272727,0.2727272727272727,0.0,f6,205.34,gyr,4.0,11.0,0.0,677l8bq
0.22727272727272727,0.36363636363636365,0.0,f7,205.34,gyr,4.0,11.0,0.0,677l8bq
0.25757575757575757,0.4,0.0,f8,205.34,gyr,4.0,10.0,0.0,677l8bq
0.2727272727272727,0.5,0.0,f9,205.34,gyr,4.0,10.0,0.0,677l8bq
0.059748427672955975,0.5416666666666666,0.0,f0,1550.76,ges,4.0,48.0,0.0,677l8bq
0.06918238993710692,0.574468085106383,0.0,f1,1550.76,ges,4.0,47.0,0.0,677l8bq
0.06289308176100629,0.5319148936170213,0.0,f2,1550.76,ges,4.0,47.0,0.0,677l8bq
0.059748427672955975,0.425531914893617,0.0,f3,1550.76,ges,4.0,47.0,0.0,677l8bq
0.059748427672955975,0.44680851063829785,0.0,f4,1550.76,ges,4.0,47.0,0.0,677l8bq
0.0660377358490566,0.5106382978723404,0.02127659574468085,f5,1550.76,ges,4.0,47.0,1.0,677l8bq
