OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
0o2grk2,acc,472,203,8369,14,0.048728814,0.002118644,1,0.02955665,0,0,0.258136811,83.5,0.05,0.0005
0o2grk2,gyr,476,196,7920,14,0.052521008,0,0,0.040816327,0,0,0.850638573,386.0714286,0.05,0.0005
0o2grk2,swp,1125,481,17146,14,0.051555556,0,0,0.047817048,0,0,0.214064314,113.9285714,0.05,0.0005
0o2grk2,tap,0,0,0,0,,,,,,,,,0.05,0.0005
sxvkh3b,acc,444,185,8415,14,0.04954955,0,0,0.135135135,0,0,0.682787036,274.2142857,0.05,0.0005
sxvkh3b,gyr,445,185,7962,14,0.049438202,0,0,0.091891892,0,0,0.878629352,352.7857143,0.05,0.0005
sxvkh3b,swp,1073,459,17220,14,0.050326188,0,0,0.021786492,0,0,0.78259659,791.7857143,0.05,0.0005
sxvkh3b,tap,0,0,0,0,,,,,,,,,0.05,0.0005
lvwfjft,acc,163,63,8818,14,0.061349693,0,0,0.063492063,0,0,0.75464905,344.7857143,0.05,0.0005
lvwfjft,gyr,162,63,8367,14,0.049382716,0,0,0.079365079,0,0,0.884218789,395.5,0.05,0.0005
lvwfjft,swp,254,108,18390,14,0.047244094,0,0,0.703703704,0.018518519,2,0.604240428,444.3571429,0.05,0.0005
lvwfjft,tap,0,0,0,0,,,,,,,,,0.05,0.0005
vk43uke,acc,683,260,8101,14,0.048316252,0,0,0.15,0,0,0.079999407,78.42857143,0.05,0.0005
vk43uke,gyr,540,206,7846,14,0.048148148,0,0,0.121359223,0,0,0.86809547,425.9285714,0.05,0.0005
vk43uke,swp,539,230,17983,14,0.048237477,0,0,0.12173913,0,0,0.488665476,409.2142857,0.05,0.0005
vk43uke,tap,0,0,0,0,,,,,,,,,0.05,0.0005
ap1oez8,acc,134,57,8853,14,0.052238806,0,0,0.631578947,0.122807018,7,0.171758027,28.78571429,0.05,0.0005
ap1oez8,gyr,134,57,8401,14,0.044776119,0,0,0.175438596,0,0,0.610647044,193.7142857,0.05,0.0005
ap1oez8,swp,239,101,18412,14,0.041841004,0,0,0.099009901,0,0,0.264575813,124.7857143,0.05,0.0005
ap1oez8,tap,0,0,0,0,,,,,,,,,0.05,0.0005
z8taipm,acc,506,217,8321,14,0.051383399,0,0,0.161290323,0.00921659,2,0.185872775,11.28571429,0.05,0.0005
z8taipm,gyr,505,217,7870,14,0.04950495,0,0,0.02764977,0,0,0.950685273,513.7857143,0.05,0.0005
z8taipm,swp,1401,599,16752,14,0.049964311,0,0,0.045075125,0,0,0.826626226,796.0714286,0.05,0.0005
z8taipm,tap,0,0,0,0,,,,,,,,,0.05,0.0005
v90gnf6,acc,514,214,8316,14,0.052529183,0,0,0.042056075,0,0,0.772306878,380.5714286,0.05,0.0005
