OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
v2x6zpt,acc,90,38,4811,14,0.055555556,0,0,0.289473684,0.026315789,1,0.065937195,5,0.05,0.0005
v2x6zpt,gyr,89,38,4754,14,0.056179775,0,0,0.263157895,0,0,0.616564277,74.92857143,0.05,0.0005
v2x6zpt,swp,0,0,0,0,,,,,,,,,0.05,0.0005
v2x6zpt,tap,494,211,19831,14,0.052631579,0,0,0.075829384,0,0,0.852075107,775.8571429,0.05,0.0005
7nv0i9p,acc,185,78,4676,14,0.156756757,0,0,0.692307692,0.243589744,19,0.083859992,2.285714286,0.05,0.038
7nv0i9p,gyr,184,78,4619,14,0.10326087,0,0,0.205128205,0,0,0.418390759,18.21428571,0.05,0.038
7nv0i9p,swp,0,0,0,0,,,,,,,,,0.05,0.038
7nv0i9p,tap,915,391,19230,14,0.05136612,0,0,0.058823529,0,0,0.861417773,763.5,0.05,0.038
1l967s6,acc,181,78,4680,14,0.116022099,0,0,0.564102564,0.205128205,16,0.000873744,2,0.05,0.038
1l967s6,gyr,182,78,4621,14,0.076923077,0,0,0.282051282,0.064102564,5,0.26806991,6.071428571,0.05,0.038
1l967s6,swp,0,0,0,0,,,,,,,,,0.05,0.038
1l967s6,tap,1266,541,18729,14,0.050552923,0,0,0.055452865,0,0,0.875292398,791.7142857,0.05,0.038
3pmv9aq,acc,295,126,4518,14,0.118644068,0.010169492,3,0.420634921,0.111111111,14,0.124258178,7.428571429,0.05,0.038
3pmv9aq,gyr,294,126,4461,14,0.078231293,0,0,0.325396825,0.047619048,6,0.807025688,142.5,0.05,0.038
3pmv9aq,swp,0,0,0,0,,,,,,,,,0.05,0.038
3pmv9aq,tap,1401,599,18536,14,0.067808708,0,0,0.041736227,0,0,0.928551933,1188.857143,0.05,0.038
rfagb10,acc,113,44,4782,14,0.159292035,0,0,1,0.477272727,21,0.023141202,2,0.05,0.038
rfagb10,gyr,112,44,4725,14,0.080357143,0,0,0.340909091,0,0,0.726655886,115.1428571,0.05,0.038
rfagb10,swp,0,0,0,0,,,,,,,,,0.05,0.038
rfagb10,tap,447,190,19899,14,0.051454139,0,0,0.084210526,0,0,0.846866629,811.2857143,0.05,0.038
508rk86,acc,286,114,4539,14,0.090909091,0.003496503,1,0.535087719,0.149122807,17,0.003014842,2.142857143,0.05,0.038
508rk86,gyr,255,93,4533,14,0.082352941,0,0,0.279569892,0.010752688,1,0.439214453,13.42857143,0.05,0.038
508rk86,swp,0,0,0,0,,,,,,,,,0.05,0.038
508rk86,tap,211,89,20236,14,0.028436019,0,0,0.06741573,0,0,0.96100235,1445.428571,0.05,0.038
ioxyr9y,acc,364,153,4422,14,0.076923077,0,0,0.14379085,0.006535948,1,0.33755233,18.78571429,0.05,0.038
ioxyr9y,gyr,365,153,4363,14,0.076712329,0,0,0.052287582,0,0,0.706307609,102.7857143,0.05,0.038
ioxyr9y,swp,0,0,0,0,,,,,,,,,0.05,0.038
ioxyr9y,tap,1401,599,18536,14,0.046395432,0,0,0.081803005,0,0,0.934866547,1169.214286,0.05,0.038
1uep0cy,acc,98,39,4802,14,0.234693878,0.010204082,1,1,0.487179487,19,0.00013816,2.142857143,0.05,0.038
1uep0cy,gyr,98,39,4744,14,0.142857143,0,0,0.333333333,0,0,0.385264423,17.28571429,0.05,0.038
1uep0cy,swp,0,0,0,0,,,,,,,,,0.05,0.038
1uep0cy,tap,706,301,19529,14,0.050991501,0,0,0.063122924,0,0,0.819040956,753.5714286,0.05,0.038
gy48qmy,acc,96,41,4802,14,0.145833333,0,0,0.853658537,0.365853659,15,0.043755903,2.642857143,0.05,0.038
gy48qmy,gyr,96,41,4744,14,0.114583333,0,0,0.390243902,0.024390244,1,0.362158787,16.42857143,0.05,0.038
gy48qmy,swp,0,0,0,0,,,,,,,,,0.05,0.038
gy48qmy,tap,525,223,19788,14,0.053333333,0,0,0.053811659,0,0,0.921744918,1278.285714,0.05,0.038
pf3v1xv,acc,149,61,4729,14,0.181208054,0.006711409,1,0.754098361,0.278688525,17,0.046135259,3.857142857,0.05,0.038
pf3v1xv,gyr,147,61,4673,14,0.115646259,0.006802721,1,0.426229508,0.06557377,4,0.669836811,61.78571429,0.05,0.038
pf3v1xv,swp,0,0,0,0,,,,,,,,,0.05,0.038
pf3v1xv,tap,1092,466,18978,14,0.091575092,0,0,0.143776824,0,0,0.918768971,1200.642857,0.05,0.038
6jtbpdh,acc,410,169,4360,14,0.075609756,0,0,0.420118343,0.130177515,22,0.151591059,13.42857143,0.05,0.038
6jtbpdh,gyr,409,169,4303,14,0.068459658,0.002444988,1,0.24260355,0.035502959,6,0.674029866,63.71428571,0.05,0.038
6jtbpdh,swp,0,0,0,0,,,,,,,,,0.05,0.038
6jtbpdh,tap,1401,599,18536,14,0.050678087,0,0,0.076794658,0,0,0.819565503,677.4285714,0.05,0.038
uui53he,acc,460,194,4285,14,0.082608696,0,0,0.231958763,0.020618557,4,0.274418576,10.42857143,0.05,0.038
uui53he,gyr,458,194,4229,14,0.045851528,0,0,0.134020619,0.010309278,2,0.832874135,147.2142857,0.05,0.038
uui53he,swp,0,0,0,0,,,,,,,,,0.05,0.038
uui53he,tap,1401,599,18536,14,0.02426838,0,0,0.025041736,0,0,0.958792283,1324,0.05,0.038
677l8bq,acc,395,163,4381,14,0.098734177,0,0,0.257668712,0.024539877,4,0.159580603,6.785714286,0.05,0.038
677l8bq,gyr,395,164,4322,14,0.075949367,0,0,0.12195122,0,0,0.946806315,295.4285714,0.05,0.038
677l8bq,swp,0,0,0,0,,,,,,,,,0.05,0.038
677l8bq,tap,1401,599,18536,14,0.049250535,0,0,0.080133556,0,0,0.864954962,778,0.05,0.038
ipuyiii,acc,216,92,4631,14,0.125,0,0,0.304347826,0,0,0.029052972,3.714285714,0.05,0.038
ipuyiii,gyr,215,92,4574,14,0.097674419,0,0,0.27173913,0.032608696,3,0.491761947,29.5,0.05,0.038
ipuyiii,swp,0,0,0,0,,,,,,,,,0.05,0.038
ipuyiii,tap,1094,467,18975,14,0.053016453,0,0,0.049250535,0,0,0.915241631,1200.428571,0.05,0.038
3zd4fdk,acc,152,59,4728,14,0.171052632,0,0,0.661016949,0.220338983,13,0,2,0.05,0.038
3zd4fdk,gyr,148,64,4669,14,0.108108108,0,0,0.390625,0.046875,3,0.497718276,19.35714286,0.05,0.038
3zd4fdk,swp,0,0,0,0,,,,,,,,,0.05,0.038
3zd4fdk,tap,636,271,19629,14,0.06918239,0,0,0.095940959,0,0,0.906216769,1247.142857,0.05,0.038
v2x6zpt,acc,90,38,4811,14,0.166666667,0,0,0.684210526,0.236842105,9,0.018900121,2.285714286,0.05,0.038
v2x6zpt,gyr,89,38,4754,14,0.157303371,0.011235955,1,0.578947368,0.157894737,6,0.383462437,12.21428571,0.05,0.038
v2x6zpt,swp,0,0,0,0,,,,,,,,,0.05,0.038
v2x6zpt,tap,494,211,19831,14,0.050607287,0,0,0.075829384,0,0,0.855592066,776.0714286,0.05,0.038
7nv0i9p,acc,185,78,4676,14,0.243243243,0.021621622,4,0.923076923,0.423076923,33,0.009063257,2,0.05,0.0755
7nv0i9p,gyr,184,78,4619,14,0.163043478,0,0,0.435897436,0.102564103,8,0.274868829,9.142857143,0.05,0.0755
7nv0i9p,swp,0,0,0,0,,,,,,,,,0.05,0.0755
7nv0i9p,tap,915,391,19230,14,0.050273224,0,0,0.079283887,0,0,0.861292578,823.5,0.05,0.0755
1l967s6,acc,181,78,4680,14,0.215469613,0,0,0.679487179,0.269230769,21,0,2,0.05,0.0755
1l967s6,gyr,182,78,4621,14,0.17032967,0,0,0.333333333,0.064102564,5,0.170563769,4.428571429,0.05,0.0755
1l967s6,swp,0,0,0,0,,,,,,,,,0.05,0.0755
1l967s6,tap,1266,541,18729,14,0.051342812,0,0,0.060998152,0,0,0.884421869,806.9285714,0.05,0.0755
3pmv9aq,acc,295,126,4518,14,0.247457627,0.013559322,4,0.706349206,0.253968254,32,0.043310244,3.428571429,0.05,0.0755
3pmv9aq,gyr,294,126,4461,14,0.149659864,0,0,0.5,0.119047619,15,0.629984924,45.71428571,0.05,0.0755
3pmv9aq,swp,0,0,0,0,,,,,,,,,0.05,0.0755
3pmv9aq,tap,1401,599,18536,14,0.032119914,0,0,0.03672788,0,0,0.950659509,1292.928571,0.05,0.0755
rfagb10,acc,113,44,4782,14,0.256637168,0.008849558,1,1,0.477272727,21,0.005027487,2,0.05,0.0755
rfagb10,gyr,112,44,4725,14,0.232142857,0.017857143,2,0.590909091,0.113636364,5,0.597873865,69.07142857,0.05,0.0755
rfagb10,swp,0,0,0,0,,,,,,,,,0.05,0.0755
rfagb10,tap,447,190,19899,14,0.049217002,0,0,0.084210526,0,0,0.853176479,807.4285714,0.05,0.0755
508rk86,acc,286,114,4539,14,0.199300699,0.01048951,3,0.701754386,0.245614035,28,0,2,0.05,0.0755
508rk86,gyr,255,93,4533,14,0.141176471,0,0,0.397849462,0.064516129,6,0.279822624,4.642857143,0.05,0.0755
508rk86,swp,0,0,0,0,,,,,,,,,0.05,0.0755
508rk86,tap,211,89,20236,14,0.151658768,0,0,0.06741573,0,0,0.948762028,1414.357143,0.05,0.0755
ioxyr9y,acc,364,153,4422,14,0.195054945,0.008241758,3,0.31372549,0.039215686,6,0.169423671,4.428571429,0.05,0.0755
ioxyr9y,gyr,365,153,4363,14,0.142465753,0.002739726,1,0.156862745,0,0,0.500534436,33.28571429,0.05,0.0755
ioxyr9y,swp,0,0,0,0,,,,,,,,,0.05,0.0755
ioxyr9y,tap,1401,599,18536,14,0.047109208,0,0,0.083472454,0,0,0.934647271,1169.214286,0.05,0.0755
1uep0cy,acc,98,39,4802,14,0.326530612,0.030612245,3,1,0.487179487,19,0,2,0.05,0.0755
1uep0cy,gyr,98,39,4744,14,0.244897959,0,0,0.538461538,0.128205128,5,0.217827794,6.785714286,0.05,0.0755
1uep0cy,swp,0,0,0,0,,,,,,,,,0.05,0.0755
1uep0cy,tap,706,301,19529,14,0.052407932,0,0,0.059800664,0,0,0.838686609,759.5714286,0.05,0.0755
gy48qmy,acc,96,41,4802,14,0.197916667,0.010416667,1,0.853658537,0.365853659,15,0.030292954,2.642857143,0.05,0.0755
gy48qmy,gyr,96,41,4744,14,0.177083333,0.010416667,1,0.804878049,0.317073171,13,0.174986287,3.571428571,0.05,0.0755
gy48qmy,swp,0,0,0,0,,,,,,,,,0.05,0.0755
gy48qmy,tap,525,223,19788,14,0.055238095,0,0,0.053811659,0,0,0.915450418,1258.5,0.05,0.0755
pf3v1xv,acc,149,61,4729,14,0.295302013,0.020134228,3,0.967213115,0.459016393,28,0.008981668,2,0.05,0.0755
pf3v1xv,gyr,147,61,4673,14,0.176870748,0,0,0.68852459,0.229508197,14,0.446386314,41.21428571,0.05,0.0755
pf3v1xv,swp,0,0,0,0,,,,,,,,,0.05,0.0755
pf3v1xv,tap,1092,466,18978,14,0.045787546,0,0,0.066523605,0,0,0.909872685,1252.714286,0.05,0.0755
6jtbpdh,acc,410,169,4360,14,0.141463415,0.004878049,2,0.662721893,0.236686391,40,0.081932056,4.214285714,0.05,0.0755
6jtbpdh,gyr,409,169,4303,14,0.124694377,0,0,0.485207101,0.106508876,18,0.479854339,34.92857143,0.05,0.0755
6jtbpdh,swp,0,0,0,0,,,,,,,,,0.05,0.0755
6jtbpdh,tap,1401,599,18536,14,0.050678087,0,0,0.076794658,0,0,0.819565503,677.4285714,0.05,0.0755
uui53he,acc,460,194,4285,14,0.141304348,0,0,0.5,0.154639175,30,0.082911417,2.5,0.05,0.0755
uui53he,gyr,458,194,4229,14,0.1069869,0,0,0.231958763,0.020618557,4,0.655433399,59.35714286,0.05,0.0755
uui53he,swp,0,0,0,0,,,,,,,,,0.05,0.0755
uui53he,tap,1401,599,18536,14,0.101356174,0,0,0.133555927,0.001669449,1,0.946869668,1324,0.05,0.0755
677l8bq,acc,395,163,4381,14,0.174683544,0.002531646,1,0.72392638,0.245398773,40,0.055824411,2.642857143,0.05,0.0755
677l8bq,gyr,395,164,4322,14,0.126582278,0.002531646,1,0.237804878,0.018292683,3,0.885823844,220.2142857,0.05,0.0755
677l8bq,swp,0,0,0,0,,,,,,,,,0.05,0.0755
677l8bq,tap,1401,599,18536,14,0.049964311,0,0,0.091819699,0.001669449,1,0.864939203,864.7857143,0.05,0.0755
ipuyiii,acc,216,92,4631,14,0.263888889,0,0,0.630434783,0.184782609,17,0.00741293,2.571428571,0.05,0.0755
ipuyiii,gyr,215,92,4574,14,0.181395349,0,0,0.391304348,0.076086957,7,0.319574317,8.642857143,0.05,0.0755
ipuyiii,swp,0,0,0,0,,,,,,,,,0.05,0.0755
ipuyiii,tap,1094,467,18975,14,0.0511883,0,0,0.049250535,0,0,0.939611554,1324.285714,0.05,0.0755
3zd4fdk,acc,152,59,4728,14,0.269736842,0.006578947,1,0.847457627,0.355932203,21,0,2,0.05,0.0755
3zd4fdk,gyr,148,64,4669,14,0.182432432,0.006756757,1,0.640625,0.171875,11,0.241187821,3.785714286,0.05,0.0755
3zd4fdk,swp,0,0,0,0,,,,,,,,,0.05,0.0755
3zd4fdk,tap,636,271,19629,14,0.036163522,0,0,0.055350554,0,0,0.930747198,1371,0.05,0.0755
v2x6zpt,acc,90,38,4811,14,0.288888889,0,0,0.815789474,0.342105263,13,0.009368567,2,0.05,0.0755
v2x6zpt,gyr,89,38,4754,14,0.191011236,0,0,0.736842105,0.263157895,10,0.161870188,4.285714286,0.05,0.0755
v2x6zpt,swp,0,0,0,0,,,,,,,,,0.05,0.0755
v2x6zpt,tap,494,211,19831,14,0.048582996,0,0,0.08056872,0,0,0.857590005,801.2142857,0.05,0.0755
7nv0i9p,acc,185,78,4676,14,0.32972973,0.021621622,4,0.974358974,0.474358974,37,0.001422213,2,0.05,0.113
7nv0i9p,gyr,184,78,4619,14,0.184782609,0,0,0.551282051,0.128205128,10,0.193285708,5.428571429,0.05,0.113
7nv0i9p,swp,0,0,0,0,,,,,,,,,0.05,0.113
7nv0i9p,tap,915,391,19230,14,0.049180328,0,0,0.071611253,0,0,0.871534566,838.4285714,0.05,0.113
1l967s6,acc,181,78,4680,14,0.26519337,0.022099448,4,0.756410256,0.294871795,23,0,2,0.05,0.113
1l967s6,gyr,182,78,4621,14,0.258241758,0,0,0.448717949,0.076923077,6,0.1126272,2.5,0.05,0.113
1l967s6,swp,0,0,0,0,,,,,,,,,0.05,0.113
1l967s6,tap,1266,541,18729,14,0.051342812,0,0,0.072088725,0,0,0.816188587,399.7142857,0.05,0.113
3pmv9aq,acc,295,126,4518,14,0.298305085,0.023728814,7,0.873015873,0.388888889,49,0.015748286,2,0.05,0.113
3pmv9aq,gyr,294,126,4461,14,0.197278912,0.003401361,1,0.587301587,0.174603175,22,0.505361919,29.85714286,0.05,0.113
3pmv9aq,swp,0,0,0,0,,,,,,,,,0.05,0.113
3pmv9aq,tap,1401,599,18536,14,0.034975018,0,0,0.048414023,0,0,0.949293446,1292.928571,0.05,0.113
rfagb10,acc,113,44,4782,14,0.292035398,0.017699115,2,1,0.477272727,21,0.001391503,2,0.05,0.113
rfagb10,gyr,112,44,4725,14,0.232142857,0.008928571,1,0.659090909,0.181818182,8,0.457408745,19.71428571,0.05,0.113
rfagb10,swp,0,0,0,0,,,,,,,,,0.05,0.113
rfagb10,tap,447,190,19899,14,0.044742729,0,0,0.078947368,0,0,0.862583568,807.4285714,0.05,0.113
508rk86,acc,286,114,4539,14,0.325174825,0.031468531,9,0.824561404,0.342105263,39,0,2,0.05,0.113
508rk86,gyr,255,93,4533,14,0.17254902,0,0,0.516129032,0.107526882,10,0.164765963,2.928571429,0.05,0.113
508rk86,swp,0,0,0,0,,,,,,,,,0.05,0.113
508rk86,tap,211,89,20236,14,0.037914692,0,0,0.078651685,0,0,0.958478204,1445.428571,0.05,0.113
ioxyr9y,acc,364,153,4422,14,0.230769231,0.005494505,2,0.424836601,0.071895425,11,0.067915235,2.285714286,0.05,0.113
ioxyr9y,gyr,365,153,4363,14,0.208219178,0.008219178,3,0.215686275,0,0,0.347586985,10.64285714,0.05,0.113
ioxyr9y,swp,0,0,0,0,,,,,,,,,0.05,0.113
