OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
cp7kjhx,acc,150.0,61,7446,14,0.48,0.0,0.0,0.32786885245901637,0.0,0.0,0.24747510611757823,101.42857142857143,101.42857142857143,0.0
cp7kjhx,gyr,151.0,61,5765,14,0.10596026490066225,0.0,0.0,0.04918032786885246,0.0,0.0,0.9286014365832457,387.2857142857143,387.2857142857143,0.0
cp7kjhx,swp,0.0,0,0,0,,,,,,,,,,
cp7kjhx,tap,1401.0,599,20396,14,0.10992148465381871,0.0,0.0,0.09348914858096828,0.0,0.0,0.8975745932420789,1337.357142857143,0.0,1337.357142857143
cp7kjhx,all,,721,33607,14,,,,0.10957004160887657,0.0,0.0,0.7389763354846187,1387.357142857143,362.64285714285717,1024.7142857142858
r13q05q,acc,739.0,227,6691,14,0.04736129905277402,0.0,0.0,0.004405286343612335,0.0,0.0,0.23901149204916966,30.357142857142858,30.357142857142858,0.0
r13q05q,gyr,640.0,273,5064,14,0.0546875,0.0,0.0,0.0695970695970696,0.007326007326007326,2.0,0.3702719002011124,22.428571428571427,22.428571428571427,0.0
r13q05q,swp,0.0,0,0,0,,,,,,,,,,
r13q05q,tap,1401.0,599,20396,14,0.039257673090649536,0.0,0.0,0.038397328881469114,0.0,0.0,0.6634755055543055,723.2857142857143,0.0,723.2857142857143
r13q05q,all,,1099,32151,14,,,,0.039126478616924476,0.0018198362147406734,2.0,0.5526821678815852,135.14285714285714,24.571428571428573,110.57142857142857
b0602fr,acc,354.0,148,7155,14,0.059322033898305086,0.0,0.0,0.46621621621621623,0.04054054054054054,6.0,0.19105012735458454,3.5,3.5,0.0
b0602fr,gyr,355.0,148,5474,14,0.09014084507042254,0.005633802816901409,2.0,0.22972972972972974,0.02027027027027027,3.0,0.7900576860079782,172.42857142857142,172.42857142857142,0.0
b0602fr,swp,0.0,0,0,0,,,,,,,,,,
b0602fr,tap,1401.0,599,20396,14,0.10706638115631692,0.0,0.0,0.13689482470784642,0.0,0.0,0.840455265993462,987.2142857142857,0.0,987.2142857142857
b0602fr,all,,895,33025,14,,,,0.20670391061452514,0.01005586592178771,9.0,0.6758437297369323,234.07142857142858,21.071428571428573,213.0
r2p4ljs,acc,131.0,54,7472,14,0.8320610687022901,0.0,0.0,0.8888888888888888,0.037037037037037035,2.0,0.0608169171849847,45.714285714285715,45.714285714285715,0.0
r2p4ljs,gyr,130.0,54,5793,14,0.11538461538461539,0.0,0.0,0.25925925925925924,0.018518518518518517,1.0,0.6188567162415479,86.92857142857143,86.92857142857143,0.0
r2p4ljs,swp,0.0,0,0,0,,,,,,,,,,
r2p4ljs,tap,1401.0,599,20396,14,0.20699500356887937,0.0,0.0,0.2353923205342237,0.0,0.0,0.7746933883124144,598.4285714285714,0.0,598.4285714285714
r2p4ljs,all,,707,33661,14,,,,0.2871287128712871,0.0014144271570014145,1.0,0.5847203236772522,483.07142857142856,92.28571428571429,390.7857142857143
l1doqao,acc,661.0,3,6993,14,0.10741301059001512,0.0030257186081694403,2.0,0.3333333333333333,0.0,0.0,0.45901630948920363,138.07142857142858,138.07142857142858,0.0
l1doqao,gyr,213.0,65,5699,14,0.16901408450704225,0.023474178403755867,5.0,0.09230769230769231,0.0,0.0,0.46258805218757904,66.07142857142857,66.07142857142857,0.0
l1doqao,swp,0.0,0,0,0,,,,,,,,,,
l1doqao,tap,730.0,311,21355,14,0.06438356164383562,0.0,0.0,0.05787781350482315,0.0,0.0,0.8052237208551488,848.2142857142857,0.0,848.2142857142857
l1doqao,all,,379,34047,14,,,,0.06596306068601583,0.0,0.0,0.701437994292595,171.92857142857142,33.285714285714285,138.64285714285714
n0g0zsv,acc,500.0,485,6672,14,0.052,0.004,2.0,0.002061855670103093,0.0,0.0,0.04392598600077357,2.142857142857143,2.142857142857143,0.0
n0g0zsv,gyr,641.0,257,5079,14,0.06396255850234009,0.0,0.0,0.0622568093385214,0.0,0.0,0.2629828891105277,17.428571428571427,17.428571428571427,0.0
n0g0zsv,swp,0.0,0,0,0,,,,,,,,,,
n0g0zsv,tap,1401.0,599,20396,14,0.3526052819414704,0.0,0.0,0.3772954924874791,0.0,0.0,0.5230086166285923,26.357142857142858,0.0,26.357142857142858
n0g0zsv,all,,1341,32147,14,,,,0.18120805369127516,0.0,0.0,0.3986523289056255,20.357142857142858,1.5714285714285714,18.785714285714285
4su8oxl,acc,160.0,64,7433,14,0.25,0.0,0.0,0.53125,0.09375,6.0,0.0,3.0,3.0,0.0
4su8oxl,gyr,158.0,62,5757,14,0.08860759493670886,0.006329113924050633,1.0,0.3387096774193548,0.08064516129032258,5.0,0.0570887470371289,3.357142857142857,3.357142857142857,0.0
4su8oxl,swp,0.0,0,0,0,,,,,,,,,,
4su8oxl,tap,646.0,276,21474,14,0.029411764705882353,0.0,0.0,0.09420289855072464,0.0,0.0,0.8066091117251577,729.0714285714286,0.0,729.0714285714286
4su8oxl,all,,402,34664,14,,,,0.20149253731343283,0.024875621890547265,10.0,0.515287180828606,53.285714285714285,5.0,48.285714285714285
b1qt6gb,acc,83.0,28,7546,14,0.7349397590361446,0.0,0.0,1.0,0.10714285714285714,3.0,0.00018268205765830333,7.0,7.0,0.0
b1qt6gb,gyr,82.0,28,5867,14,0.18292682926829268,0.0,0.0,0.14285714285714285,0.0,0.0,0.5461168831634369,79.78571428571429,79.78571428571429,0.0
b1qt6gb,swp,0.0,0,0,0,,,,,,,,,,
b1qt6gb,tap,576.0,246,21574,14,0.24305555555555555,0.0,0.0,0.21544715447154472,0.0,0.0,0.7519203748949952,472.85714285714283,0.0,472.85714285714283
b1qt6gb,all,,302,34987,14,,,,0.2814569536423841,0.0,0.0,0.5505718414300506,156.71428571428572,20.071428571428573,136.64285714285714
0z9xv36,acc,163.0,64,7430,14,0.2331288343558282,0.0,0.0,0.546875,0.125,8.0,0.0,3.0,3.0,0.0
0z9xv36,gyr,163.0,64,5750,14,0.03680981595092025,0.0,0.0,0.1875,0.015625,1.0,0.012589426932503842,2.0,2.0,0.0
0z9xv36,swp,0.0,0,0,0,,,,,,,,,,
