,Attacker_Mean_NoD,FAR_max,FAR_mean,FAR_min,FAR_std,FRR_Conf_max,FRR_Conf_mean,FRR_Conf_min,FRR_Conf_std,FRR_max,FRR_mean,FRR_min,FRR_std,NATL_max,NATL_mean,NATL_min,NATL_std,NU_max,NU_mean,NU_min,NU_std,OrgUser_NoD
count,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
mean,296.31818181818176,0.6300306348885691,0.24497261149569471,0.0014715500327011119,0.17510977854456344,0.01091295068567796,0.0018446787073269288,0.0,0.0037961548489246276,0.15797646592431752,0.06996270731188162,0.012501106589878143,0.044247393469131174,59.5,7.161471861471861,2.0,11.463971663831574,0.2727272727272727,0.045454545454545456,0.0,0.09499536129802891,296.3181818181818
std,4.67250286092413,0.22684570265268592,0.1046479525092452,0.0069021814647499775,0.07094829926198262,0.018405768936983386,0.00409130323819919,0.0,0.006639728912084917,0.0663332658043263,0.03897602507360753,0.030032236833265127,0.016575379757042093,44.15853474104627,3.760006096566504,0.0,8.395440640688348,0.4558423058385518,0.09625003513801572,0.0,0.16351341714292103,98.1225600794068
min,285.95238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01324110671936759,0.0,0.02400743188788829,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,192.0
25%,295.5357142857143,0.6002273865153538,0.22148820591593654,0.0,0.14420397570834645,0.0,0.0,0.0,0.0,0.1,0.04161995967741935,0.0,0.032126115434405564,32.25,4.633333333333333,2.0,6.3238669021577,0.0,0.0,0.0,0.0,226.0
50%,298.3095238095238,0.6975214818417639,0.2632456777921369,0.0,0.19463963387962147,0.0,0.0,0.0,0.0,0.1396103896103896,0.06565048986101618,0.0,0.040842659323878455,44.0,6.697619047619048,2.0,9.024574711996218,0.0,0.0,0.0,0.0,254.5
75%,299.66666666666663,0.7379139957264957,0.2995543207021978,0.0,0.21966348776577166,0.025,0.0026785714285714286,0.0,0.008035714285714285,0.2,0.08826836581709145,0.0,0.056755291470121,94.5,8.785714285714285,2.0,17.3455578620124,0.75,0.07500000000000001,0.0,0.22500000000000003,312.75
max,301.2857142857143,0.852,0.3878499001490036,0.03237410071942446,0.26801193045428606,0.045454545454545456,0.017786561264822136,0.0,0.021792962453897582,0.3076923076923077,0.18698924731182795,0.12903225806451613,0.07938893846308728,165.0,16.447619047619046,2.0,28.87555596739747,1.0,0.4,0.0,0.48989794855663565,514.0
