OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG,num_of_clf_that_decide
r13q05q,acc,748.0,226,6988,14,0.02807486631016043,0.0,0.0,0.05752212389380531,0.004424778761061947,1.0,0.12230811652813467,21.714285714285715,21.714285714285715,0.0,1
r13q05q,gyr,646.0,254,6891,14,0.32507739938080493,0.043343653250773995,28.0,0.33858267716535434,0.031496062992125984,8.0,0.2202338501466937,6.571428571428571,6.571428571428571,0.0,1
r13q05q,swp,357.0,152,11361,14,0.05322128851540616,0.0028011204481792717,1.0,0.013157894736842105,0.0,0.0,0.21486168626856714,5.642857142857143,0.0,5.642857142857143,1
r13q05q,tap,0.0,0,0,0,,,,,,,,,,,1
r13q05q,all,,632,25240,14,,,,0.15981012658227847,0.012658227848101266,8.0,0.20333635495929392,4.714285714285714,0.7142857142857143,4.0,1
68n9ll,acc,262.0,111,7589,14,0.1183206106870229,0.003816793893129771,1.0,0.05405405405405406,0.0,0.0,0.48499014316235545,50.857142857142854,50.857142857142854,0.0,1
68n9ll,gyr,262.0,111,7418,14,0.20610687022900764,0.022900763358778626,6.0,0.4864864864864865,0.10810810810810811,12.0,0.6515585919475326,89.78571428571429,89.78571428571429,0.0,1
68n9ll,swp,411.0,174,11285,14,0.0827250608272506,0.0024330900243309003,1.0,0.14942528735632185,0.0,0.0,0.6032600279180761,137.92857142857142,0.0,137.92857142857142,1
68n9ll,tap,0.0,0,0,0,,,,,,,,,,,1
68n9ll,all,,396,26292,14,,,,0.21717171717171718,0.010101010101010102,4.0,0.5763811388634629,93.71428571428571,47.142857142857146,46.57142857142857,1
ipuyiii,acc,149.0,61,7752,14,0.053691275167785234,0.0,0.0,0.19672131147540983,0.01639344262295082,1.0,0.42712211407977335,45.857142857142854,45.857142857142854,0.0,1
ipuyiii,gyr,149.0,61,7581,14,0.18120805369127516,0.0,0.0,0.3770491803278688,0.01639344262295082,1.0,0.5805277627111985,65.0,65.0,0.0,1
ipuyiii,swp,265.0,112,11493,14,0.07169811320754717,0.0,0.0,0.09821428571428571,0.0,0.0,0.35474796496678623,19.928571428571427,0.0,19.928571428571427,1
ipuyiii,tap,0.0,0,0,0,,,,,,,,,,,1
ipuyiii,all,,234,26826,14,,,,0.19658119658119658,0.004273504273504274,1.0,0.42429625491229483,16.642857142857142,6.714285714285714,9.928571428571429,1
z8c5rtb,acc,436.0,185,7341,14,0.013761467889908258,0.0,0.0,0.010810810810810811,0.0,0.0,0.674240209742686,205.35714285714286,205.35714285714286,0.0,1
z8c5rtb,gyr,435.0,184,7172,14,0.33793103448275863,0.05057471264367816,22.0,0.3641304347826087,0.03260869565217391,6.0,0.522179389594459,46.785714285714285,46.785714285714285,0.0,1
z8c5rtb,swp,1326.0,567,9977,14,0.05656108597285068,0.0,0.0,0.09171075837742504,0.0,0.0,0.6138928838991075,221.92857142857142,0.0,221.92857142857142,1
z8c5rtb,tap,0.0,0,0,0,,,,,,,,,,,1
z8c5rtb,all,,936,24490,14,,,,0.12927350427350429,0.0,0.0,0.5999555336348398,182.64285714285714,100.28571428571429,82.35714285714286,1
7stgp0r,acc,315.0,129,7518,14,0.044444444444444446,0.0,0.0,0.03875968992248062,0.0,0.0,0.7259790945282119,186.14285714285714,186.14285714285714,0.0,1
7stgp0r,gyr,318.0,130,7343,14,0.3710691823899371,0.059748427672955975,19.0,0.4230769230769231,0.03076923076923077,4.0,0.5011566356156808,28.714285714285715,28.714285714285715,0.0,1
7stgp0r,swp,361.0,153,11356,14,0.05817174515235457,0.0,0.0,0.17647058823529413,0.006535947712418301,1.0,0.3733590564928188,15.0,0.0,15.0,1
7stgp0r,tap,0.0,0,0,0,,,,,,,,,,,1
7stgp0r,all,,412,26217,14,,,,0.2111650485436893,0.0048543689320388345,2.0,0.5109401082941115,15.785714285714286,3.5,12.285714285714286,1
3zd4fdk,acc,205.0,84,7673,14,0.17560975609756097,0.014634146341463415,3.0,0.25,0.023809523809523808,2.0,0.04853253573951705,5.785714285714286,5.785714285714286,0.0,1
3zd4fdk,gyr,206.0,84,7501,14,0.36893203883495146,0.04854368932038835,10.0,0.4880952380952381,0.047619047619047616,4.0,0.312414840474183,10.714285714285714,10.714285714285714,0.0,1
3zd4fdk,swp,361.0,154,11355,14,0.07479224376731301,0.0,0.0,0.16233766233766234,0.0,0.0,0.14735659665712753,7.714285714285714,0.0,7.714285714285714,1
3zd4fdk,tap,0.0,0,0,0,,,,,,,,,,,1
3zd4fdk,all,,322,26529,14,,,,0.2701863354037267,0.009316770186335404,3.0,0.165899196806756,6.785714285714286,1.6428571428571428,5.142857142857143,1
vk43uke,acc,644.0,273,7045,14,0.010869565217391304,0.0,0.0,0.25274725274725274,0.11721611721611722,32.0,0.12564946076431077,54.42857142857143,54.42857142857143,0.0,1
vk43uke,gyr,645.0,266,6880,14,0.3612403100775194,0.034108527131782945,22.0,0.6766917293233082,0.14661654135338345,39.0,0.12105003614565439,4.428571428571429,4.428571428571429,0.0,1
vk43uke,swp,405.0,172,11293,14,0.05185185185185185,0.0,0.0,0.2616279069767442,0.005813953488372093,1.0,0.5735374197247739,98.35714285714286,0.0,98.35714285714286,1
vk43uke,tap,0.0,0,0,0,,,,,,,,,,,1
vk43uke,all,,711,25218,14,,,,0.41350210970464135,0.0759493670886076,54.0,0.33294141382708453,31.928571428571427,13.357142857142858,18.571428571428573,1
b0602fr,acc,522.0,223,7217,14,0.09770114942528736,0.005747126436781609,3.0,0.09865470852017937,0.004484304932735426,1.0,0.19779191913023828,9.785714285714286,9.785714285714286,0.0,1
b0602fr,gyr,523.0,220,7048,14,0.3862332695984704,0.05927342256214149,31.0,0.2318181818181818,0.004545454545454545,1.0,0.41346646533969617,20.071428571428573,20.071428571428573,0.0,1
b0602fr,swp,1401.0,599,9870,14,0.034261241970021415,0.0007137758743754461,1.0,0.011686143572621035,0.0,0.0,0.7456107066112672,340.5,0.0,340.5,1
b0602fr,tap,0.0,0,0,0,,,,,,,,,,,1
b0602fr,all,,1042,24135,14,,,,0.07677543186180422,0.0019193857965451055,2.0,0.47158378340807944,50.214285714285715,12.142857142857142,38.07142857142857,1
