OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
v90gnf6,acc,514,214,8316,14,0.2723735408560311,0.0019455252918287938,1.0,0.32710280373831774,0.004672897196261682,1.0,0.24114118532202578,56.714285714285715
v90gnf6,gyr,507,218,7867,14,0.6607495069033531,0.023668639053254437,12.0,0.6972477064220184,0.03211009174311927,7.0,0.21518383643724767,31.071428571428573
v90gnf6,swp,1401,599,16752,14,0.48679514632405424,0.02926481084939329,41.0,0.8681135225375626,0.14858096828046743,89.0,0.06505016954629132,18.714285714285715
v90gnf6,tap,0,0,0,0,,,,,,,,
v90gnf6,all,2422,1031,32935,14,0.47770437654830716,0.009496284062758051,23.0,0.7196896217264791,0.07468477206595538,77.0,0.14721771598978997,22.142857142857142
lvwfjft,acc,163,63,8818,14,0.3067484662576687,0.0,0.0,0.3492063492063492,0.0,0.0,0.1415313279073285,19.357142857142858
lvwfjft,gyr,162,63,8367,14,0.654320987654321,0.037037037037037035,6.0,0.7301587301587301,0.07936507936507936,5.0,0.1833562907512303,24.857142857142858
lvwfjft,swp,254,108,18390,14,0.48031496062992124,0.011811023622047244,3.0,0.9537037037037037,0.2037037037037037,22.0,0.039675201337757794,5.5
lvwfjft,tap,0,0,0,0,,,,,,,,
lvwfjft,all,579,234,35575,14,0.48013816925734026,0.0034542314335060447,2.0,0.7307692307692307,0.10683760683760683,25.0,0.09776869831171396,12.071428571428571
txxrlzc,acc,508,218,8318,14,0.234251968503937,0.0,0.0,0.5412844036697247,0.027522935779816515,6.0,0.10307778896193154,29.928571428571427
txxrlzc,gyr,512,216,7864,14,0.66015625,0.01953125,10.0,0.6898148148148148,0.041666666666666664,9.0,0.13962162514082618,17.785714285714285
txxrlzc,swp,1401,599,16752,14,0.4796573875802998,0.009279086366880799,13.0,0.7696160267111853,0.07679465776293823,46.0,0.0035869992972716058,4.142857142857143
txxrlzc,tap,0,0,0,0,,,,,,,,
txxrlzc,all,2421,1033,32934,14,0.466336224700537,0.00660883932259397,16.0,0.7047434656340755,0.05421103581800581,56.0,0.05962585304502086,10.571428571428571
0o2grk2,acc,472,203,8369,14,0.2733050847457627,0.00211864406779661,1.0,0.8177339901477833,0.07881773399014778,16.0,0.026146094135400744,6.0
0o2grk2,gyr,476,196,7920,14,0.6512605042016807,0.052521008403361345,25.0,0.8826530612244898,0.12755102040816327,25.0,0.1288544459904157,12.142857142857142
0o2grk2,swp,1125,481,17146,14,0.4826666666666667,0.0008888888888888889,1.0,0.6361746361746362,0.037422037422037424,18.0,0.002683420365535248,4.357142857142857
0o2grk2,tap,0,0,0,0,,,,,,,,
