OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
ipuyiii,acc,181.0,75,23767,59,0.15469613259668508,0.0055248618784530384,1.0,0.10666666666666667,0.013333333333333334,1.0,0.0834057048055653,5.779661016949152,5.779661016949152,0.0
ipuyiii,swp,0.0,0,0,0,,,,,,,,,,
ipuyiii,tap,1401.0,599,98066,59,0.6309778729478943,0.18201284796573874,255.0,0.674457429048414,0.09015025041736227,54.0,0.2838545864294561,12.559322033898304,0.0,12.559322033898304
ipuyiii,all,,674,121833,59,,,,0.6112759643916914,0.08160237388724036,55.0,0.2427683121994182,10.932203389830509,0.3728813559322034,10.559322033898304
4l9kvp8,acc,89.0,38,23896,59,0.23595505617977527,0.0,0.0,0.631578947368421,0.13157894736842105,5.0,0.12264042513719756,9.322033898305085,9.322033898305085,0.0
4l9kvp8,swp,0.0,0,0,0,,,,,,,,,,
4l9kvp8,tap,903.0,386,98777,59,0.5293466223698782,0.13510520487264674,122.0,0.4792746113989637,0.046632124352331605,18.0,0.5313984516945724,326.4406779661017,0.0,326.4406779661017
4l9kvp8,all,,424,122673,59,,,,0.49292452830188677,0.054245283018867926,23.0,0.4482919088825866,86.76271186440678,5.237288135593221,81.52542372881356
g5fc9sj,acc,76.0,30,23917,59,0.23684210526315788,0.05263157894736842,4.0,0.6,0.13333333333333333,4.0,0.02230412693668366,3.0677966101694913,3.0677966101694913,0.0
g5fc9sj,swp,0.0,0,0,0,,,,,,,,,,
g5fc9sj,tap,770.0,328,98968,59,0.5961038961038961,0.14545454545454545,112.0,0.6371951219512195,0.0701219512195122,23.0,0.590003361480393,512.2033898305085,0.0,512.2033898305085
g5fc9sj,all,,358,122885,59,,,,0.6340782122905028,0.07541899441340782,27.0,0.4781986007913461,77.01694915254237,3.7796610169491527,73.23728813559322
508rk86,acc,621.0,253,23149,59,0.05958132045088567,0.001610305958132045,1.0,0.08695652173913043,0.015810276679841896,4.0,0.35493245631509185,50.847457627118644,50.847457627118644,0.0
508rk86,swp,0.0,0,0,0,,,,,,,,,,
508rk86,tap,1087.0,464,98515,59,0.5998160073597056,0.16743330266789327,182.0,0.39655172413793105,0.02586206896551724,12.0,0.6318151815787221,515.8305084745763,0.0,515.8305084745763
508rk86,all,,717,121664,59,,,,0.28730822873082285,0.022315202231520222,16.0,0.5737265505817589,309.3220338983051,44.42372881355932,264.89830508474574
cp7kjhx,acc,150.0,61,23812,59,0.1,0.0,0.0,0.08196721311475409,0.0,0.0,0.6195419573998863,138.54237288135593,138.54237288135593,0.0
cp7kjhx,swp,0.0,0,0,0,,,,,,,,,,
cp7kjhx,tap,1401.0,599,98066,59,0.6281227694503926,0.17987152034261242,252.0,0.667779632721202,0.09181969949916527,55.0,0.42423755602715174,84.89830508474576,0.0,84.89830508474576
cp7kjhx,all,,660,121878,59,,,,0.6136363636363636,0.07727272727272727,51.0,0.44045603561992314,100.28813559322033,18.76271186440678,81.52542372881356
pf3v1xv,acc,109.0,45,23869,59,0.23853211009174313,0.009174311926605505,1.0,0.3333333333333333,0.022222222222222223,1.0,0.04636008774309882,4.762711864406779,4.762711864406779,0.0
pf3v1xv,swp,0.0,0,0,0,,,,,,,,,,
pf3v1xv,tap,1401.0,599,98066,59,0.6138472519628837,0.17273376159885795,242.0,0.7429048414023373,0.11018363939899833,66.0,0.24339779068189576,9.220338983050848,0.0,9.220338983050848
pf3v1xv,all,,644,121935,59,,,,0.7142857142857143,0.10248447204968944,66.0,0.19796589839408538,8.983050847457626,0.22033898305084745,8.76271186440678
sxvkh3b,acc,120.0,51,23852,59,0.19166666666666668,0.0,0.0,0.3333333333333333,0.058823529411764705,3.0,0.40682952716711596,37.05084745762712,37.05084745762712,0.0
sxvkh3b,swp,0.0,0,0,0,,,,,,,,,,
sxvkh3b,tap,1401.0,599,98066,59,0.6288365453247681,0.1891506067094932,265.0,0.6978297161936561,0.1018363939899833,61.0,0.322805387453137,16.64406779661017,0.0,16.64406779661017
sxvkh3b,all,,650,121918,59,,,,0.6692307692307692,0.09846153846153846,64.0,0.32798858889842986,19.338983050847457,1.0338983050847457,18.305084745762713
xrm6gjj,acc,800.0,187,23036,59,0.0675,0.0075,6.0,0.016042780748663103,0.0,0.0,0.18538008275924342,57.79661016949152,57.79661016949152,0.0
xrm6gjj,swp,0.0,0,0,0,,,,,,,,,,
xrm6gjj,tap,1401.0,599,98066,59,0.6024268379728765,0.19628836545324768,275.0,0.6377295492487479,0.09515859766277128,57.0,0.266621012535025,9.525423728813559,0.0,9.525423728813559
xrm6gjj,all,,786,121102,59,,,,0.48982188295165396,0.06997455470737914,55.0,0.275407437425733,8.627118644067796,0.423728813559322,8.203389830508474
0sqy7ba,acc,774.0,217,23032,59,0.03617571059431524,0.0,0.0,0.03225806451612903,0.0,0.0,0.007830567071303933,2.0677966101694913,2.0677966101694913,0.0
0sqy7ba,swp,0.0,0,0,0,,,,,,,,,,
0sqy7ba,tap,1401.0,599,98066,59,0.5867237687366167,0.12205567451820129,171.0,0.6861435726210351,0.08848080133555926,53.0,0.27045308464279366,17.271186440677965,0.0,17.271186440677965
0sqy7ba,all,,816,121098,59,,,,0.5122549019607843,0.0625,51.0,0.2217597462065169,10.864406779661017,0.2542372881355932,10.610169491525424
rlvzek7,acc,88.0,38,23897,59,0.23863636363636365,0.011363636363636364,1.0,0.7105263157894737,0.18421052631578946,7.0,0.005227336367443277,3.016949152542373,3.016949152542373,0.0
rlvzek7,swp,0.0,0,0,0,,,,,,,,,,
rlvzek7,tap,868.0,370,98828,59,0.5817972350230415,0.14631336405529954,127.0,0.518918918918919,0.05405405405405406,20.0,0.5394474361404384,328.7118644067797,0.0,328.7118644067797
rlvzek7,all,,408,122725,59,,,,0.5367647058823529,0.0661764705882353,27.0,0.43330384510242465,58.52542372881356,2.9322033898305087,55.59322033898305
hahbthc,acc,106.0,36,23881,59,0.18867924528301888,0.009433962264150943,1.0,0.4722222222222222,0.08333333333333333,3.0,0.13486747218290765,14.101694915254237,14.101694915254237,0.0
hahbthc,swp,0.0,0,0,0,,,,,,,,,,
hahbthc,tap,1185.0,507,98374,59,0.6371308016877637,0.1839662447257384,218.0,0.6745562130177515,0.08678500986193294,44.0,0.343423899721028,18.440677966101696,0.0,18.440677966101696
hahbthc,all,,543,122255,59,,,,0.6611418047882136,0.0847145488029466,46.0,0.294923369206156,12.05084745762712,0.4915254237288136,11.559322033898304
r2p4ljs,acc,131.0,54,23838,59,0.17557251908396945,0.007633587786259542,1.0,0.4074074074074074,0.07407407407407407,4.0,0.3496850453864751,35.898305084745765,35.898305084745765,0.0
r2p4ljs,swp,0.0,0,0,0,,,,,,,,,,
r2p4ljs,tap,1401.0,599,98066,59,0.6295503211991434,0.18058529621698788,253.0,0.6260434056761269,0.07512520868113523,45.0,0.2508358208527285,10.423728813559322,0.0,10.423728813559322
r2p4ljs,all,,653,121904,59,,,,0.6079632465543645,0.07503828483920368,49.0,0.24876242240155577,10.288135593220339,0.3050847457627119,9.983050847457626
lej2hfo,acc,281.0,118,23624,59,0.1103202846975089,0.0,0.0,0.0423728813559322,0.0,0.0,0.18561614562511056,33.20338983050848,33.20338983050848,0.0
lej2hfo,swp,0.0,0,0,0,,,,,,,,,,
lej2hfo,tap,1401.0,599,98066,59,0.5795860099928622,0.14846538187009278,208.0,0.5959933222036727,0.07345575959933222,44.0,0.2274034902566837,8.322033898305085,0.0,8.322033898305085
lej2hfo,all,,717,121690,59,,,,0.504881450488145,0.05578800557880056,40.0,0.24258694642686324,7.88135593220339,0.13559322033898305,7.745762711864407
aqq25vq,acc,175.0,73,23775,59,0.16,0.0,0.0,0.1643835616438356,0.0,0.0,0.4503497253744287,59.49152542372882,59.49152542372882,0.0
aqq25vq,swp,0.0,0,0,0,,,,,,,,,,
aqq25vq,tap,1401.0,599,98066,59,0.5910064239828694,0.15917201998572447,223.0,0.6277128547579299,0.08180300500834725,49.0,0.34154747094873755,16.35593220338983,0.0,16.35593220338983
aqq25vq,all,,672,121841,59,,,,0.5773809523809523,0.0744047619047619,50.0,0.3497468759265898,14.169491525423728,0.6271186440677966,13.542372881355933
36z77qn,acc,223.0,247,23553,59,0.15246636771300448,0.013452914798206279,3.0,0.032388663967611336,0.0,0.0,0.17426438986228635,40.03389830508475,40.03389830508475,0.0
36z77qn,swp,0.0,0,0,0,,,,,,,,,,
36z77qn,tap,454.0,193,99419,59,0.579295154185022,0.14096916299559473,64.0,0.6217616580310881,0.08290155440414508,16.0,0.21538162312210601,9.11864406779661,0.0,9.11864406779661
36z77qn,all,,440,122972,59,,,,0.2909090909090909,0.03409090909090909,15.0,0.23160741215543962,8.542372881355933,0.2542372881355932,8.288135593220339
d99p79w,acc,307.0,110,23606,59,0.04560260586319218,0.0,0.0,0.22727272727272727,0.00909090909090909,1.0,0.16328963689879908,24.54237288135593,24.54237288135593,0.0
d99p79w,swp,0.0,0,0,0,,,,,,,,,,
d99p79w,tap,1200.0,513,98353,59,0.6216666666666667,0.17583333333333334,211.0,0.7680311890838206,0.12475633528265107,64.0,0.29230754639343776,11.322033898305085,0.0,11.322033898305085
d99p79w,all,,623,121959,59,,,,0.6725521669341894,0.09630818619582665,60.0,0.28824220430177194,11.576271186440678,0.7796610169491526,10.796610169491526
biysamt,acc,85.0,33,23905,59,0.23529411764705882,0.0,0.0,0.42424242424242425,0.06060606060606061,2.0,0.06045122539354328,6.3559322033898304,6.3559322033898304,0.0
biysamt,swp,0.0,0,0,0,,,,,,,,,,
biysamt,tap,1326.0,567,98173,59,0.6138763197586727,0.16968325791855204,225.0,0.5132275132275133,0.04056437389770723,23.0,0.44757691246039555,125.13559322033899,0.0,125.13559322033899
biysamt,all,,600,122078,59,,,,0.5083333333333333,0.041666666666666664,25.0,0.36568155442266653,46.186440677966104,2.694915254237288,43.49152542372882
w764hxe,acc,106.0,46,23871,59,0.22641509433962265,0.0,0.0,0.5869565217391305,0.08695652173913043,4.0,0.3238036062872776,38.30508474576271,38.30508474576271,0.0
w764hxe,swp,0.0,0,0,0,,,,,,,,,,
w764hxe,tap,1299.0,556,98211,59,0.6081601231716706,0.18398768283294842,239.0,0.5215827338129496,0.050359712230215826,28.0,0.24441047223216156,8.830508474576272,0.0,8.830508474576272
w764hxe,all,,602,122082,59,,,,0.526578073089701,0.054817275747508304,33.0,0.23462900235911244,8.372881355932204,0.1694915254237288,8.203389830508474
adj01eb,acc,249.0,74,23700,59,0.0642570281124498,0.0,0.0,0.16216216216216217,0.02702702702702703,2.0,0.22251993497059983,57.94915254237288,57.94915254237288,0.0
adj01eb,swp,0.0,0,0,0,,,,,,,,,,
adj01eb,tap,281.0,119,99666,59,0.608540925266904,0.1708185053380783,48.0,0.5966386554621849,0.06722689075630252,8.0,0.23769687276843177,9.305084745762711,0.0,9.305084745762711
adj01eb,all,,193,123366,59,,,,0.43005181347150256,0.05181347150259067,10.0,0.2595934966092395,9.169491525423728,0.23728813559322035,8.932203389830509
szmkl5t,acc,196.0,77,23750,59,0.1326530612244898,0.0,0.0,0.5714285714285714,0.1038961038961039,8.0,0.27693576367609457,47.52542372881356,47.52542372881356,0.0
szmkl5t,swp,0.0,0,0,0,,,,,,,,,,
szmkl5t,tap,1401.0,599,98066,59,0.6024268379728765,0.16773733047822983,235.0,0.5826377295492488,0.0667779632721202,40.0,0.4141937188208749,89.57627118644068,0.0,89.57627118644068
szmkl5t,all,,676,121816,59,,,,0.5813609467455622,0.07100591715976332,48.0,0.373568169524541,29.389830508474578,1.6271186440677967,27.76271186440678
9gx7uks,acc,338.0,144,23541,59,0.08579881656804733,0.0,0.0,0.6111111111111112,0.1875,27.0,0.5736380495438521,141.52542372881356,141.52542372881356,0.0
9gx7uks,swp,0.0,0,0,0,,,,,,,,,,
9gx7uks,tap,1401.0,599,98066,59,0.5917201998572448,0.10206995003568879,143.0,0.8697829716193656,0.15859766277128548,95.0,0.334284854631719,50.83050847457627,0.0,50.83050847457627
9gx7uks,all,,743,121607,59,,,,0.819650067294751,0.1655450874831763,123.0,0.39966184092114176,35.813559322033896,4.830508474576271,30.983050847457626
agmp5h7,acc,946.0,7,23070,59,0.06659619450317125,0.0,0.0,0.0,0.0,0.0,0.20080675101492432,35.52542372881356,35.52542372881356,0.0
agmp5h7,swp,0.0,0,0,0,,,,,,,,,,
agmp5h7,tap,1310.0,560,98196,59,0.601526717557252,0.1763358778625954,231.0,0.5660714285714286,0.06964285714285715,39.0,0.2524856386485976,9.525423728813559,0.0,9.525423728813559
agmp5h7,all,,567,121266,59,,,,0.5590828924162258,0.06878306878306878,39.0,0.2528910228302625,9.254237288135593,0.22033898305084745,9.033898305084746
qa94pwy,acc,151.0,56,23816,59,0.10596026490066225,0.0,0.0,0.14285714285714285,0.0,0.0,0.32658685435839213,29.050847457627118,29.050847457627118,0.0
qa94pwy,swp,0.0,0,0,0,,,,,,,,,,
