OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
0z9xv36,acc,163,64,7430,14,0.055214724,0,0,0.484375,0.15625,10,0,2,0.05,0.0005
0z9xv36,gyr,163,64,5750,14,0.055214724,0,0,0.234375,0.015625,1,0.010951277,2,0.05,0.0005
0z9xv36,swp,0,0,0,0,,,,,,,,,0.05,0.0005
0z9xv36,tap,1401,599,20396,14,0.037116345,0,0,0.013355593,0,0,0.963410943,1456.857143,0.05,0.0005
b1qt6gb,acc,83,28,7546,14,0.048192771,0,0,0,0,0,0.093325967,2,0.05,0.0005
b1qt6gb,gyr,82,28,5867,14,0.036585366,0,0,0.035714286,0,0,0.735584523,140.9285714,0.05,0.0005
b1qt6gb,swp,0,0,0,0,,,,,,,,,0.05,0.0005
b1qt6gb,tap,576,246,21574,14,0.048611111,0,0,0.06504065,0,0,0.874893518,1316.857143,0.05,0.0005
l1doqao,acc,661,3,6993,14,0.048411498,0.006051437,4,0.333333333,0,0,0.407252177,134.6428571,0.05,0.0005
l1doqao,gyr,213,65,5699,14,0.051643192,0,0,0.061538462,0,0,0.670767297,75.21428571,0.05,0.0005
l1doqao,swp,0,0,0,0,,,,,,,,,0.05,0.0005
l1doqao,tap,730,311,21355,14,0.049315068,0,0,0.045016077,0,0,0.928809907,1357.428571,0.05,0.0005
sqhkewt,acc,470,86,7101,14,0.046808511,0,0,0.5,0.069767442,6,0.349939891,109.0714286,0.05,0.0005
sqhkewt,gyr,116,49,5812,14,0.051724138,0,0,0.163265306,0,0,0.559273766,89.85714286,0.05,0.0005
sqhkewt,swp,0,0,0,0,,,,,,,,,0.05,0.0005
sqhkewt,tap,380,162,21854,14,0.052631579,0,0,0.055555556,0,0,0.748151341,683,0.05,0.0005
vk43uke,acc,683,268,6706,14,0.05124451,0.001464129,1,0.552238806,0.220149254,59,0.262460738,91.64285714,0.05,0.0005
vk43uke,gyr,617,265,5095,14,0.047001621,0,0,0.033962264,0,0,0.932804082,342.0714286,0.05,0.0005
vk43uke,swp,0,0,0,0,,,,,,,,,0.05,0.0005
vk43uke,tap,1401,599,20396,14,0.053533191,0,0,0.063439065,0,0,0.928676107,1288.928571,0.05,0.0005
hwx9u0h,acc,157,43,7457,14,0.050955414,0,0,0.023255814,0,0,0.071584056,7.285714286,0.05,0.0005
hwx9u0h,gyr,157,44,5776,14,0.063694268,0,0,0.045454545,0,0,0.588675917,88.57142857,0.05,0.0005
hwx9u0h,swp,0,0,0,0,,,,,,,,,0.05,0.0005
hwx9u0h,tap,482,205,21709,14,0.022821577,0,0,0.024390244,0,0,0.982763403,1550.642857,0.05,0.0005
r2p4ljs,acc,131,54,7472,14,0.045801527,0,0,0.166666667,0,0,0.683370815,219.0714286,0.05,0.0005
r2p4ljs,gyr,130,54,5793,14,0.038461538,0,0,0.166666667,0.018518519,1,0.690778002,156.3571429,0.05,0.0005
r2p4ljs,swp,0,0,0,0,,,,,,,,,0.05,0.0005
r2p4ljs,tap,1401,599,20396,14,0.050678087,0,0,0.045075125,0,0,0.933215596,1288.785714,0.05,0.0005
ftk8v41,acc,505,216,6936,14,0.047524752,0,0,0.12962963,0.00462963,1,0.466453661,46.21428571,0.05,0.0005
ftk8v41,gyr,505,216,5256,14,0.04950495,0,0,0.087962963,0,0,0.884602816,287.1428571,0.05,0.0005
ftk8v41,swp,0,0,0,0,,,,,,,,,0.05,0.0005
ftk8v41,tap,1401,599,20396,14,0.053533191,0,0,0.035058431,0,0,0.880338688,1250.714286,0.05,0.0005
