,FAR,FRR,FRR_Conf,MeanNumOfAttData,NumOfAcceptTL,NumOfOrgUserTstData,NumOfUnlocks
count,220.0,220.0,220.0,220.0,220.0,220.0,220.0
mean,0.3233845415663601,0.3893398996564499,0.08085428000361447,199.86363636363623,4.913636363636364,19.986363636363638,1.4454545454545455
std,0.1989081144688853,0.1621029317620773,0.07287569780615659,2.885174350815363,8.74952290699565,6.073732308836322,1.2318925087748482
min,0.0,0.041666666666666664,0.0,195.23809523809524,2.0,7.0,0.0
25%,0.15488215488215487,0.27507836990595613,0.0,197.8095238095238,2.0,16.0,0.0
50%,0.3148148148148148,0.375,0.067816091954023,200.11904761904762,2.0,19.0,1.0
75%,0.5084175084175084,0.4771428571428571,0.125,201.85714285714286,5.0,24.0,2.0
max,0.7542087542087542,1.0,0.375,205.66666666666666,44.0,30.0,5.0
