,FAR,FRR,FRR_Conf,MeanNumOfAttData,NumOfAcceptTL,NumOfOrgUserTstData,NumOfUnlocks
count,220.0,220.0,220.0,220.0,220.0,220.0,220.0
mean,0.09551597051597054,0.32823592208351976,0.0597995155172574,189.63636363636363,2.268181818181818,18.963636363636365,0.9954545454545455
std,0.15737732269712043,0.17188854161812794,0.07238750149972155,2.391087169128358,0.8525472783185506,5.038531482671115,1.0832798466854967
min,0.0,0.0,0.0,185.0,2.0,7.0,0.0
25%,0.0,0.21052631578947367,0.0,187.9047619047619,2.0,16.0,0.0
50%,0.009009009009009009,0.29705882352941176,0.044466403162055336,189.5,2.0,19.0,1.0
75%,0.12612612612612611,0.4301242236024844,0.09642857142857142,191.14285714285714,2.0,23.0,2.0
max,0.5675675675675675,1.0,0.4444444444444444,194.95238095238096,5.0,29.0,5.0
