,Attacker_Mean_NoD,FAR_max,FAR_mean,FAR_min,FAR_std,FRR_Conf_max,FRR_Conf_mean,FRR_Conf_min,FRR_Conf_std,FRR_max,FRR_mean,FRR_min,FRR_std,NATL_max,NATL_mean,NATL_min,NATL_std,NU_max,NU_mean,NU_min,NU_std,OrgUser_NoD
count,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
mean,2963.181818181818,0.6300306348885691,0.24497261149569471,0.0014715500327011119,0.17510977854456342,0.010912950685677958,0.0018446787073269288,0.0,0.0037961548489246276,0.15797646592431752,0.0699627073118816,0.012501106589878143,0.04424739346913117,59.5,7.161471861471861,2.0,11.463971663831574,0.2727272727272727,0.045454545454545456,0.0,0.0949953612980289,296.3181818181818
std,46.72502860924128,0.22684570265268592,0.1046479525092452,0.006902181464749977,0.07094829926198264,0.018405768936983386,0.00409130323819919,0.0,0.006639728912084917,0.06633326580432629,0.038976025073607534,0.030032236833265124,0.016575379757042093,44.15853474104627,3.760006096566503,0.0,8.395440640688346,0.4558423058385519,0.09625003513801571,0.0,0.16351341714292106,98.1225600794068
min,2859.5238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01324110671936759,0.0,0.02400743188788829,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,192.0
25%,2955.3571428571427,0.6002273865153538,0.22148820591593654,0.0,0.14420397570834645,0.0,0.0,0.0,0.0,0.1,0.04161995967741935,0.0,0.032126115434405564,32.25,4.633333333333333,2.0,6.3238669021577,0.0,0.0,0.0,0.0,226.0
50%,2983.095238095238,0.6975214818417639,0.2632456777921369,0.0,0.19463963387962147,0.0,0.0,0.0,0.0,0.1396103896103896,0.06565048986101618,0.0,0.040842659323878455,44.0,6.697619047619048,2.0,9.024574711996216,0.0,0.0,0.0,0.0,254.5
75%,2996.666666666667,0.7379139957264957,0.29955432070219784,0.0,0.21966348776577166,0.025,0.0026785714285714286,0.0,0.008035714285714285,0.2,0.08826836581709145,0.0,0.056755291470121,94.5,8.785714285714285,2.0,17.3455578620124,0.75,0.07500000000000001,0.0,0.22500000000000003,312.75
max,3012.8571428571427,0.852,0.3878499001490036,0.03237410071942446,0.26801193045428606,0.045454545454545456,0.017786561264822136,0.0,0.021792962453897582,0.3076923076923077,0.18698924731182795,0.12903225806451613,0.07938893846308728,165.0,16.447619047619046,2.0,28.87555596739747,1.0,0.4,0.0,0.48989794855663565,514.0
