User,TimeStart,TimeStop,Screen,Duration,TraceLengthHorizontal,TraceLengthVertical,Direction,Slope,MeanSquareError,MeanAbsError,MedianAbsError,CoefDetermination,AccelerationHorizontal,AccelerationVertical,MeanX,MeanY
c8wbz3m,1536562808629.0,1536562808761.0,FocusGame - 1.1.1,132.0,142.351041784609,351.9021739130435,down,-2.379769905207729,1264.7072131869174,31.507998180265744,36.2905291733955,0.9243017080184037,15.984658540539684,-26.64109145694849,287.81534666920373,362.89250723981627
c8wbz3m,1536562810344.0,1536562810462.0,FocusGame - 1.1.1,118.0,53.46215289572011,201.94745893063754,down,-3.6955320540051675,177.03314614171882,12.042832104169,13.127615306343387,0.9674293899912771,12.871571669850026,-33.36447180112952,254.7043889205648,452.4003567902938
c8wbz3m,1536562811994.0,1536562812095.0,FocusGame - 1.1.1,101.0,44.12238816708182,223.18841063457987,up,-4.8342339676436445,186.91015727225047,11.275966524479404,9.892225165762284,0.9718538027488907,-3.819888644380491,35.78628591362175,278.26086535299123,373.3695610709812
c8wbz3m,1536562813945.0,1536562814079.0,FocusGame - 1.1.1,134.0,113.6875908155948,378.2155700351881,down,-3.196529773250878,2164.274400553224,41.544468109597865,47.4117094182684,0.8838097619762658,17.702947568108794,-27.818913825653976,293.9702949790115,367.2956881315812
c8wbz3m,1536562815445.0,1536562815562.0,FocusGame - 1.1.1,117.0,40.25763912477355,287.54528501759404,up,-6.361529635881108,825.1094071623535,22.65575993714623,21.96273292968135,0.9212201071503914,3.429193142749033e-06,28.16769591340949,278.9049876484894,438.2133097752281
c8wbz3m,1536562816929.0,1536562817062.0,FocusGame - 1.1.1,133.0,52.818025598203505,336.6847826086956,up,-5.40525338032187,1679.0413792888696,33.71593895772038,28.844249913522617,0.8825710245236839,0.15120282822443948,24.795979175784158,282.37609044237286,415.0261637093364
c8wbz3m,1536562835065.0,1536562835164.0,FocusGame - 1.1.1,99.0,145.89371980676327,283.42391304347825,down,-1.8856888293223066,243.6157112240889,13.281709223406422,13.314581902419718,0.9764440936757216,24.585559294354155,-38.60542059912577,291.9714696659064,353.5778916400412
c8wbz3m,1536562836583.0,1536562836665.0,FocusGame - 1.1.1,82.0,133.33333333333334,298.64130434782606,down,-2.1591072974283034,624.6194750645117,23.079556596476454,20.33813496228089,0.9486030025839721,39.21776229496935,-57.71668404039467,280.56896903856557,339.4323615060336
c8wbz3m,1536562837781.0,1536562837898.0,FocusGame - 1.1.1,117.0,157.16586642795139,333.83152173913044,down,-1.9966556095905783,579.0152042547427,20.66526922692792,15.805464551530491,0.9595026966253803,16.209648191047343,-26.038874667566695,295.69242726201594,326.5794800675434
c8wbz3m,1536562839065.0,1536562839181.0,FocusGame - 1.1.1,116.0,57.971014492753625,290.08152173913044,up,-4.418495281611692,961.6134559471084,25.04000790363404,18.058516404850025,0.9163615811290377,-1.0428489165234376,36.49979896327961,262.1578050696331,378.2155741815982
c8wbz3m,1536562840381.0,1536562840481.0,FocusGame - 1.1.1,100.0,54.106280193236714,304.0308019389277,up,-5.298719564733982,557.5971560462923,20.245195512339087,19.8477569756526,0.9532270382224848,-2.6004628374364924,42.80757695496563,277.3406898177353,402.0833284958549
c8wbz3m,1536562841582.0,1536562841698.0,FocusGame - 1.1.1,116.0,77.9387985450634,320.8333284958549,up,-3.8305032328657407,840.0799824932415,23.937144965875802,25.482950913892182,0.939438410117707,-2.7843282694123546,36.71839725150821,277.41545525150025,366.36661653933317
c8wbz3m,1536562873854.0,1536562873920.0,FocusGame - 1.1.1,66.0,9.017708451275665,194.02173913043478,up,-16.58164914339069,1484.0510146300796,31.086277261354006,29.196544016253938,0.7093555859152182,5.100305360242417e-06,58.299673421096806,260.9339705757473,413.278980669768
c8wbz3m,1536562875086.0,1536562875204.0,FocusGame - 1.1.1,118.0,92.43156691104318,439.7191980610723,down,-4.4432361177928055,2557.414838813274,44.13747968976881,45.781398768888835,0.8964429708068321,15.582899432717356,-36.755286823655815,294.0418611977987,286.6734540980795
c8wbz3m,1536562876422.0,1536562876503.0,FocusGame - 1.1.1,81.0,103.70369878943991,288.17934782608694,down,-2.700815953564392,349.96901462442315,16.155092362277117,17.736160204294322,0.9682881691413193,26.30237052119657,-50.61963616022812,308.42726457138184,264.1908196435458
c8wbz3m,1536562877771.0,1536562877871.0,FocusGame - 1.1.1,100.0,34.13848139813557,240.30797585197118,up,-6.090011093181413,970.2158458744237,24.267131596791483,22.744011177498578,0.877060834193559,3.155036873365098e-06,38.2616939415087,223.92453864329926,383.1068806026293
c8wbz3m,1536562879373.0,1536562879537.0,FocusGame - 1.1.1,164.0,72.78583913609602,511.0507198002027,up,-5.878414422886241,4208.911027855743,53.826798265167696,37.09321740183691,0.892660133396892,-0.36775310325979393,15.07787723365155,294.3346468356287,393.1159371915071
c8wbz3m,1536562880603.0,1536562880686.0,FocusGame - 1.1.1,83.0,104.34782608695652,408.9673913043478,down,-3.547030918394455,2499.0483060075335,46.351478021826914,39.28683743888587,0.8911984958497557,38.558994965143434,-80.77862715884088,285.56091750877493,279.5138808264249
c8wbz3m,1536562908926.0,1536562909023.0,FocusGame - 1.1.2,97.0,121.095003137266,381.7028937132462,down,-3.027254730016404,1730.7087551128368,38.15548472949011,38.48880430485906,0.9075807434591655,35.59935144090335,-60.49829616597202,273.5219635578416,282.4275307033373
