Attacker_Mean_NoD,Data_Type,FAR_max,FAR_mean,FAR_min,FAR_std,FRR_Conf_max,FRR_Conf_mean,FRR_Conf_min,FRR_Conf_std,FRR_max,FRR_mean,FRR_min,FRR_std,NATL_max,NATL_mean,NATL_min,NATL_std,NU_max,NU_mean,NU_min,NU_std,OrgUser,OrgUser_NoD
318.0,acc,0.8354978354978355,0.27744914935875215,0.0,0.21863383310561257,0.05263157894736842,0.005263157894736842,0.0,0.015789473684210527,0.15789473684210525,0.031578947368421054,0.0,0.048237638894272,103.0,15.895238095238096,2.0,22.788645380466207,1.0,0.1,0.0,0.30000000000000004,8uohdv4,191.0
301.2857142857143,gyr,0.7023346303501945,0.20633418547863866,0.0,0.19791842192797435,0.0,0.0,0.0,0.0,0.15,0.056842105263157895,0.0,0.0419767776454535,96.0,9.076190476190476,2.0,20.37561345291882,0.0,0.0,0.0,0.0,8uohdv4,192.0
195.8095238095238,swp,0.6304347826086957,0.29041044434278696,0.0,0.19123035427414264,0.10714285714285714,0.024753694581280787,0.0,0.032064434463826355,0.4642857142857143,0.25701970443349753,0.10344827586206896,0.09953763928338392,44.0,6.133333333333334,2.0,9.192198210249165,3.0,0.7,0.0,0.9,8uohdv4,285.0
311.95238095238096,acc,0.8475336322869955,0.37523499393284093,0.0,0.2531772397661735,0.0,0.0,0.0,0.0,0.09375,0.053427419354838704,0.0,0.02812120595290283,249.0,24.6,2.0,39.110368860200644,0.0,0.0,0.0,0.0,6jtbpdh,318.0
295.2857142857143,gyr,0.7395833333333334,0.27250521764943797,0.0,0.23586327776415764,0.0,0.0,0.0,0.0,0.125,0.0408266129032258,0.0,0.03432233928676052,95.0,13.019047619047619,2.0,22.71352898809365,0.0,0.0,0.0,0.0,6jtbpdh,318.0
195.71428571428572,swp,0.855072463768116,0.4519489386246123,0.011976047904191617,0.20656269731100502,0.14285714285714285,0.06625615763546797,0.0,0.045662261249891554,0.4642857142857143,0.3307881773399015,0.14285714285714285,0.09130459149602481,138.0,10.219047619047618,2.0,25.24866086119117,4.0,1.9,0.0,1.3,6jtbpdh,287.0
316.04761904761904,acc,0.581151832460733,0.11908375897724247,0.0,0.16172371838683597,0.0,0.0,0.0,0.0,0.043478260869565216,0.008514492753623187,0.0,0.017033802895531164,14.0,2.947619047619048,2.0,2.9892058266240054,0.0,0.0,0.0,0.0,fu1y9x6,232.0
299.3809523809524,gyr,0.5934579439252337,0.25885694671798387,0.0,0.13839662979198775,0.0,0.0,0.0,0.0,0.13043478260869565,0.05217391304347826,0.0,0.03790346907426672,40.0,4.2,2.0,6.27451383053092,0.0,0.0,0.0,0.0,fu1y9x6,232.0
201.85714285714286,swp,0.47101449275362317,0.1315502269443871,0.0,0.1281667867603395,0.2,0.13374999999999998,0.0625,0.047120192062426916,0.625,0.50125,0.375,0.09705829433902081,5.0,2.5952380952380953,2.0,1.0524240456593938,3.0,2.1,1.0,0.7,fu1y9x6,158.0
316.4761904761905,acc,0.3151750972762646,0.02606686551259466,0.0,0.06178145721121524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.242857142857143,2.0,3.937980075473965,0.0,0.0,0.0,0.0,c8wbz3m,223.0
299.8095238095238,gyr,0.7840466926070039,0.26573153802487975,0.0,0.21552999008636048,0.0,0.0,0.0,0.0,0.08695652173913043,0.01324110671936759,0.0,0.02806115340450279,28.0,4.890476190476191,2.0,5.400388413006778,0.0,0.0,0.0,0.0,c8wbz3m,223.0
201.0952380952381,swp,0.4897119341563786,0.14461672180924964,0.0,0.13175645537582104,0.17647058823529413,0.10326797385620914,0.0,0.06235239308620322,0.6470588235294118,0.43692810457516346,0.23529411764705882,0.1176928923065582,4.0,2.2285714285714286,2.0,0.636315927180574,3.0,1.8,0.0,1.0770329614269007,c8wbz3m,174.0
316.42857142857144,acc,0.3620689655172414,0.06551174946455163,0.0,0.09561592918445878,0.045454545454545456,0.004545454545454545,0.0,0.013636363636363636,0.2727272727272727,0.10375494071146245,0.0,0.08201581027667984,53.0,3.342857142857143,2.0,6.771549124906384,1.0,0.1,0.0,0.30000000000000004,ioxyr9y,224.0
299.85714285714283,gyr,0.7088607594936709,0.26759424012330907,0.0,0.18526893360727373,0.045454545454545456,0.004545454545454545,0.0,0.013636363636363636,0.13636363636363635,0.0766798418972332,0.0,0.035548959734067034,42.0,4.166666666666667,2.0,4.837928849782265,1.0,0.1,0.0,0.30000000000000004,ioxyr9y,222.0
195.23809523809524,swp,0.7366255144032922,0.30083671751255375,0.0,0.21242638764540422,0.13333333333333333,0.0335632183908046,0.0,0.0394432116353898,0.43333333333333335,0.2927586206896552,0.16666666666666666,0.07396808487179457,34.0,5.609523809523809,2.0,7.949837061037927,4.0,1.0,0.0,1.1832159566199232,ioxyr9y,297.0
316.9047619047619,acc,0.9615384615384616,0.3259140089413606,0.0,0.28359463851750344,0.0,0.0,0.0,0.0,0.09523809523809523,0.04199134199134199,0.0,0.032614386496688075,234.0,14.214285714285714,2.0,35.39339171188244,0.0,0.0,0.0,0.0,k9ptsb2,214.0
300.23809523809524,gyr,0.7327044025157232,0.22882298262867123,0.0,0.17571546255176873,0.0,0.0,0.0,0.0,0.2727272727272727,0.07445887445887447,0.0,0.07376603052631392,61.0,7.838095238095238,2.0,11.771332254190634,0.0,0.0,0.0,0.0,k9ptsb2,214.0
