,FAR,FRR,FRR_Conf,MeanNumOfAttData,NumOfAcceptTL,NumOfOrgUserTstData,NumOfUnlocks
count,220.0,220.0,220.0,220.0,220.0,220.0,220.0
mean,0.06623080838652876,0.05700288319269612,0.00107699131627888,312.22727272727286,2.0,31.222727272727273,0.031818181818181815
std,0.14415938281325277,0.052572758129743824,0.006460674968691405,6.505840250505419,0.0,13.669298058898153,0.17591603340646467
min,0.0,0.0,0.0,290.04761904761904,2.0,19.0,0.0
25%,0.0,0.0,0.0,311.95238095238096,2.0,23.0,0.0
50%,0.0,0.045454545454545456,0.0,315.04761904761904,2.0,25.0,0.0
75%,0.036830357142857144,0.09003496503496503,0.0,316.04761904761904,2.0,32.0,0.0
max,0.6607142857142857,0.2727272727272727,0.05263157894736842,318.0,2.0,78.0,1.0
