OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
gy48qmy,acc,22,9,971,14,0.5454545454545454,0.13636363636363635,3.0,0.1111111111111111,0.0,0.0,0.028101378517681984,2.2857142857142856
gy48qmy,gyr,22,9,954,14,0.6363636363636364,0.18181818181818182,4.0,0.2222222222222222,0.0,0.0,0.047281382094427685,2.2857142857142856
gy48qmy,swp,0,0,0,0,,,,,,,,
gy48qmy,tap,525,223,19788,14,0.5123809523809524,0.10285714285714286,54.0,0.484304932735426,0.07623318385650224,17.0,0.27057108621634746,3.0714285714285716
gy48qmy,all,569,241,21713,14,0.5184534270650264,0.1054481546572935,60.0,0.4605809128630705,0.06224066390041494,15.0,0.24854365031532,3.0714285714285716
6jtbpdh,acc,72,31,899,14,0.4861111111111111,0.09722222222222222,7.0,0.25806451612903225,0.03225806451612903,1.0,0.08742234279123141,3.0
6jtbpdh,gyr,72,31,882,14,0.4722222222222222,0.08333333333333333,6.0,0.25806451612903225,0.0,0.0,0.10876436816212166,2.9285714285714284
6jtbpdh,swp,0,0,0,0,,,,,,,,
6jtbpdh,tap,1401,599,18536,14,0.5253390435403283,0.10206995003568879,143.0,0.48747913188647746,0.07846410684474124,47.0,0.4029949664675506,17.714285714285715
6jtbpdh,all,1545,661,20317,14,0.5210355987055016,0.1029126213592233,159.0,0.4659606656580938,0.07261724659606657,48.0,0.37548277052420437,14.142857142857142
uui53he,acc,97,41,864,14,0.5154639175257731,0.13402061855670103,13.0,0.34146341463414637,0.024390243902439025,1.0,0.1671035888683831,4.428571428571429
uui53he,gyr,97,41,847,14,0.5051546391752577,0.12371134020618557,12.0,0.3902439024390244,0.07317073170731707,3.0,0.1752698498327049,3.2142857142857144
uui53he,swp,0,0,0,0,,,,,,,,
uui53he,tap,1401,599,18536,14,0.5117773019271948,0.09992862241256245,140.0,0.5108514190317195,0.10350584307178631,62.0,0.5494123003076814,82.42857142857143
uui53he,all,1595,681,20247,14,0.5115987460815047,0.10094043887147336,161.0,0.4933920704845815,0.1027900146842878,70.0,0.5138634029444716,32.142857142857146
677l8bq,acc,79,34,889,14,0.5316455696202531,0.11392405063291139,9.0,0.23529411764705882,0.0,0.0,0.14212360800959872,5.142857142857143
677l8bq,gyr,79,34,872,14,0.4936708860759494,0.08860759493670886,7.0,0.17647058823529413,0.0,0.0,0.6244079684900257,30.928571428571427
677l8bq,swp,0,0,0,0,,,,,,,,
677l8bq,tap,1401,599,18536,14,0.49750178443968596,0.09064953604568166,127.0,0.44741235392320533,0.07512520868113523,45.0,0.3658361871379308,7.285714285714286
677l8bq,all,1559,667,20297,14,0.4990378447722899,0.09364977549711354,146.0,0.42278860569715143,0.0704647676161919,47.0,0.3652916344133857,7.428571428571429
pf3v1xv,acc,31,13,958,14,0.4838709677419355,0.06451612903225806,2.0,0.0,0.0,0.0,0.00847457627118644,2.2857142857142856
pf3v1xv,gyr,31,13,941,14,0.5806451612903226,0.12903225806451613,4.0,0.15384615384615385,0.0,0.0,0.2788738965223855,8.5
pf3v1xv,swp,0,0,0,0,,,,,,,,
pf3v1xv,tap,1092,466,18978,14,0.4926739926739927,0.10164835164835165,111.0,0.3927038626609442,0.045064377682403435,21.0,0.3405508258662763,6.142857142857143
pf3v1xv,all,1154,492,20877,14,0.4948006932409012,0.10138648180242635,117.0,0.37601626016260165,0.034552845528455285,17.0,0.31935352411420703,5.857142857142857
ipuyiii,acc,41,18,943,14,0.5121951219512195,0.0975609756097561,4.0,0.5,0.05555555555555555,1.0,0.019469922607765717,2.4285714285714284
ipuyiii,gyr,41,18,926,14,0.4634146341463415,0.07317073170731707,3.0,0.4444444444444444,0.05555555555555555,1.0,0.12122166784049344,2.2857142857142856
ipuyiii,swp,0,0,0,0,,,,,,,,
ipuyiii,tap,1094,467,18975,14,0.4945155393053016,0.09049360146252285,99.0,0.44325481798715205,0.059957173447537475,28.0,0.42051383112116564,24.714285714285715
ipuyiii,all,1176,503,20844,14,0.49404761904761907,0.09013605442176871,106.0,0.44532803180914515,0.06759443339960239,34.0,0.3888125184858697,13.071428571428571
ioxyr9y,acc,68,29,905,14,0.4852941176470588,0.07352941176470588,5.0,0.6896551724137931,0.20689655172413793,6.0,0.24348551200092633,5.214285714285714
ioxyr9y,gyr,68,29,888,14,0.5147058823529411,0.10294117647058823,7.0,0.7241379310344828,0.2413793103448276,7.0,0.011664559949106871,2.2857142857142856
ioxyr9y,swp,0,0,0,0,,,,,,,,
ioxyr9y,tap,1401,599,18536,14,0.49678800856531047,0.09707351891506068,136.0,0.38898163606010017,0.05676126878130217,34.0,0.5787257040166661,97.07142857142857
ioxyr9y,all,1537,657,20329,14,0.4970722186076773,0.09564085881587508,147.0,0.4170471841704718,0.0745814307458143,49.0,0.5377763257392685,40.357142857142854
508rk86,acc,42,17,943,14,0.5,0.14285714285714285,6.0,0.0,0.0,0.0,0.0,2.0
508rk86,gyr,29,13,943,14,0.4482758620689655,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,2.0
508rk86,swp,0,0,0,0,,,,,,,,
508rk86,tap,211,89,20236,14,0.4976303317535545,0.09004739336492891,19.0,0.6966292134831461,0.23595505617977527,21.0,0.687235639656171,113.92857142857143
508rk86,all,282,119,22122,14,0.4929078014184397,0.08156028368794327,23.0,0.5210084033613446,0.13445378151260504,16.0,0.6299767481147628,42.642857142857146
7nv0i9p,acc,34,14,954,14,0.47058823529411764,0.08823529411764706,3.0,0.2857142857142857,0.07142857142857142,1.0,0.043689981836613594,2.7857142857142856
7nv0i9p,gyr,34,14,937,14,0.5588235294117647,0.11764705882352941,4.0,0.21428571428571427,0.0,0.0,0.09068523032135958,2.7857142857142856
7nv0i9p,swp,0,0,0,0,,,,,,,,
7nv0i9p,tap,915,391,19230,14,0.5245901639344263,0.10710382513661203,98.0,0.4833759590792839,0.08439897698209718,33.0,0.39265965484428517,11.857142857142858
7nv0i9p,all,983,419,21121,14,0.5239064089521872,0.10681586978636826,105.0,0.4677804295942721,0.07159904534606205,30.0,0.3626409841370274,12.5
3zd4fdk,acc,40,17,945,14,0.45,0.075,3.0,0.11764705882352941,0.0,0.0,0.0,2.0
