,Attacker_Mean_NoD,FAR_max,FAR_mean,FAR_min,FAR_std,FRR_Conf_max,FRR_Conf_mean,FRR_Conf_min,FRR_Conf_std,FRR_max,FRR_mean,FRR_min,FRR_std,NATL_max,NATL_mean,NATL_min,NATL_std,NU_max,NU_mean,NU_min,NU_std,OrgUser_NoD
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,180.375,0.44641446107940713,0.1489985130060815,0.0,0.1136760711587531,0.19777772810477381,0.09837353680643955,0.017956349206349205,0.0580863419231727,0.5968807735264556,0.4162827061988603,0.234162089574397,0.10810583140349933,25.083333333333332,3.2918478260869573,2.0,3.8143683818396035,3.125,1.491666666666667,0.20833333333333334,0.9644587767000105,180.375
std,2.727502926069968,0.24819474013768816,0.13608019711760588,0.0,0.07100836944458042,0.09375466832475662,0.060920120777409,0.0385389478471669,0.020061702723963102,0.17298920715082772,0.1390386586498009,0.13147588081180242,0.03310620379759822,42.44988520153132,2.204651609549032,0.0,6.301680483179955,1.0759222535351585,0.560214762131582,0.4148511169990533,0.28404396728795556,62.73256729960922
min,175.7391304347826,0.04296875,0.0016644021739130434,0.0,0.007881166804456633,0.03571428571428571,0.014285714285714285,0.0,0.017496355305594128,0.2857142857142857,0.17182539682539683,0.03571428571428571,0.060900647688582825,2.0,2.0,2.0,0.0,1.0,0.4,0.0,0.48989794855663565,78.0
25%,177.75,0.24616079494128273,0.03943652217678051,0.0,0.060754536299615254,0.14947552447552448,0.06419683257918553,0.0,0.05108553500747056,0.5,0.3366923076923077,0.15846153846153846,0.08419848939586148,4.0,2.126086956521739,2.0,0.4835848340394953,3.0,1.2750000000000001,0.0,0.806225774829855,127.25
50%,180.47826086956522,0.4257246376811594,0.08385179167436689,0.0,0.10070417120754702,0.18198529411764708,0.07417483660130719,0.0,0.05806320209431559,0.54858934169279,0.38364035087719295,0.19507575757575757,0.10499421254223418,6.0,2.484782608695652,2.0,1.0550740748553253,3.0,1.5,0.0,0.9299566260984142,178.0
75%,182.68478260869563,0.6204357078853047,0.26181781358079326,0.0,0.16077774423250552,0.23557692307692307,0.12768939393939396,0.0,0.06530888324076647,0.6639610389610391,0.4944322344322344,0.28928571428571426,0.12085423054574082,23.0,3.3576086956521736,2.0,4.058951759811218,3.0,1.9,0.0,1.0435213074469698,240.75
max,184.82608695652175,0.9217391304347826,0.45284620770563366,0.0,0.28474691478996045,0.42857142857142855,0.25357142857142856,0.14285714285714285,0.10679147791873707,1.0,0.7160714285714286,0.5714285714285714,0.19344717356495675,184.0,10.969565217391304,2.0,24.800794243029113,6.0,2.6,1.0,1.6763054614240211,287.0
