User,Timestamp,Screen,Mean,STD,Max,Min,Range,Percentile25,Percentile50,Percentile75,Kurtosis,Skewness,Entropy,Amplitude1,Amplitude2,Frequency2,MeanFrequency
l7pkjen,,,0.9974338189621017,0.04486639156517207,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.9858571385951154,0.9948682458806979,1.0033892163625846,26.430474768634987,2.4212748469958556,7.642436862990145,199.48676379242033,1.4539088121424424,0.25,-0.002500000000000018
l7pkjen,,,0.9975831269692017,0.0451085435871063,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.9851502700205788,0.9951398900242603,1.0042499459480914,25.777896249151993,2.372620175063346,7.642421278793751,199.51662539384034,1.5230426949617377,-0.25,-0.002500000000000018
l7pkjen,,,0.9965649064925295,0.04628095190344772,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.9839143024357653,0.9949188432792089,1.003990224332984,23.5138969461256,2.1353437475282626,7.642338787754553,199.31298129850592,1.5005158492486872,-0.25,-0.002500000000000018
l7pkjen,,,0.9960502986412473,0.046679027180534925,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.983813585123114,0.9946506999868983,1.0040629716855887,22.764111050350664,2.08564835040844,7.64231037328249,199.2100597282495,1.5187607109373489,-0.25,-0.002500000000000018
l7pkjen,,,0.9958062504116592,0.046701489051971225,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.9835723109337045,0.9935630254565585,1.003240454193524,22.760968278918213,2.0998883175141936,7.642308506459607,199.16125008233183,1.516054615900225,-0.25,-0.002500000000000018
l7pkjen,,,0.9953696382160367,0.046590700477190765,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.983441248812404,0.9930610141185068,1.0040629716855887,23.032367061104484,2.0919971198142897,7.6423141193692254,199.07392764320736,1.4847762929693387,0.25,-0.002500000000000018
l7pkjen,,,0.9954874284083527,0.04651429127826485,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.983441248812404,0.9947018673474455,1.007244138972311,23.11361821147856,2.0556711645529275,7.642318559808226,199.09748568167058,1.3404323455934932,0.25,-0.002500000000000018
l7pkjen,,,0.9959154670921525,0.04535681845572207,1.3610389692620288,0.7722195077414965,0.5888194615205323,0.984938683399636,0.995133840381427,1.0061956446988158,25.706245543903727,2.1820258197824343,7.642396485977126,199.1830934184305,1.3806032591116184,-0.225,-0.002500000000000018
l7pkjen,,,0.9937634723339751,0.022655077316207674,1.0491508014383757,0.8636765862665944,0.1854742151717813,0.985423816131202,0.9943682115619082,1.0038461998023847,8.899914370819484,-1.6724908953286524,7.643476118519635,198.75269446679502,0.6638770680168865,-0.115,-0.002500000000000018
l7pkjen,,,0.9929606388179256,0.02909591607993899,1.06588252242788,0.7410707903539069,0.3248117320739732,0.9856019927703943,0.9947524647459565,1.0040548959988471,29.542874384583136,-3.9280695382134496,7.643209699378782,198.59212776358513,0.9694002569400146,0.295,-0.002500000000000018
l7pkjen,,,0.9926916139073976,0.03353269637981613,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.985021256291087,0.9949745358832238,1.0042406639055352,24.75905006317056,-3.0212298127920727,7.643000145243794,198.5383227814795,1.1262825976646482,-0.295,-0.002500000000000018
l7pkjen,,,0.9921467368411433,0.03363339857881517,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9848157552748484,0.9941650843421974,1.0037998213363284,24.2592551451557,-2.9463167204307372,7.642994710556357,198.42934736822866,1.2059428457413077,-0.295,-0.002500000000000018
l7pkjen,,,0.9929041456195848,0.032438620450383024,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9849072281152814,0.9939872277718396,1.004227115594019,27.556294036783374,-3.0429621978094303,7.643055968087267,198.580829123917,1.1687657552282387,0.32,-0.002500000000000018
l7pkjen,,,0.9931129616648545,0.03179020603593725,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9850094823392136,0.9939673763410912,1.0040548959988471,29.995552256175422,-3.184778372790145,7.643087166920528,198.6225923329709,1.2400560243299168,-0.295,-0.002500000000000018
l7pkjen,,,0.9927978054844959,0.03195470526721553,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9853733763893278,0.9942313016533644,1.0038901360373358,29.32836132883363,-3.193799986222969,7.643078531247173,198.5595610968992,1.2223368115428195,-0.295,-0.002500000000000018
l7pkjen,,,0.9932685492732989,0.033231049311131626,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9856019927703943,0.9942313016533644,1.0040548959988471,25.254913785291713,-2.900718395184803,7.643017803218105,198.65370985465978,1.01566720297884,-0.295,-0.002500000000000018
l7pkjen,,,0.9927141070493601,0.03429689619758309,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9850094823392136,0.9939673763410912,1.0038015612402296,21.889750320842516,-2.5845205054296474,7.642964709712853,198.54282140987203,1.0287984552020266,-0.41500000000000004,-0.002500000000000018
l7pkjen,,,0.9924905189503979,0.03552454418778837,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9841111408624698,0.9937957662892648,1.0046400652139527,18.814240759849607,-2.2479214819623237,7.642902355134935,198.4981037900796,1.0749827641422158,-0.135,-0.002500000000000018
l7pkjen,,,0.992870073962701,0.03558765185310148,1.1560319000300048,0.7410707903539069,0.4149611096760979,0.9847654474049837,0.9942124440083298,1.005329602805615,18.757768300814607,-2.2679561503459604,7.6428994345501025,198.5740147925402,1.1113479864734945,-0.135,-0.002500000000000018
