,Attacker_Mean_NoD,FAR_max,FAR_mean,FAR_min,FAR_std,FRR_Conf_max,FRR_Conf_mean,FRR_Conf_min,FRR_Conf_std,FRR_max,FRR_mean,FRR_min,FRR_std,NATL_max,NATL_mean,NATL_min,NATL_std,NU_max,NU_mean,NU_min,NU_std,OrgUser_NoD
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,294.4583333333333,0.6405711758390152,0.21693534928062283,0.0017149102969998492,0.162220021028752,0.013699788663869122,0.0017420026759107218,0.0,0.004472342175939142,0.17812819884561737,0.08378133334924136,0.018210868601052428,0.050767613178092336,66.29166666666667,6.607246376811595,2.0,10.19838198806661,0.3333333333333333,0.041666666666666664,0.0,0.10833333333333334,294.4583333333333
std,5.533938255635725,0.19292528394691294,0.09909742238086507,0.00687108235975952,0.05256740385485493,0.02509162469166499,0.00322623877962456,0.0,0.00809346091304777,0.0727486428947808,0.03656629701013976,0.022752938232977953,0.020858375750357042,52.39687940149196,3.1888744571640517,0.0,7.025074028036277,0.56465970257328,0.07172815023567725,0.0,0.1815792237365102,127.28057987962165
min,274.82608695652175,0.061611374407582936,0.004649124079399259,0.0,0.011741260211316048,0.0,0.0,0.0,0.0,0.06666666666666667,0.023809523809523808,0.0,0.02152919634041025,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,193.0
25%,293.67391304347825,0.5432011331444759,0.17664296656032838,0.0,0.1422972072378098,0.0,0.0,0.0,0.0,0.10667293233082706,0.050873044096728305,0.0,0.035967953105749365,31.0,3.9489130434782607,2.0,5.313598586743284,0.0,0.0,0.0,0.0,209.25
50%,295.7608695652174,0.6981664282533939,0.21129962176685135,0.0,0.16938447937656556,0.0,0.0,0.0,0.0,0.1783068783068783,0.07977957714799819,0.0,0.0461866132717427,51.5,6.178260869565218,2.0,9.076478973928555,0.0,0.0,0.0,0.0,264.5
75%,298.1630434782609,0.7718419310431794,0.29285406018837523,0.0,0.20233861765009165,0.030049261083743842,0.0030049261083743843,0.0,0.009014778325123153,0.23295454545454544,0.11306818181818182,0.03777777777777778,0.06333942045201343,76.0,9.175,2.0,13.926886918991787,1.0,0.1,0.0,0.30000000000000004,312.5
max,298.8695652173913,0.919431279620853,0.3821832117480269,0.033582089552238806,0.22439162071793137,0.1,0.01,0.0,0.03,0.3,0.14586894586894586,0.07407407407407407,0.0909765425916981,211.0,12.882608695652173,2.0,30.98433319585372,2.0,0.2,0.0,0.6000000000000001,746.0
