OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG,num_of_clf_that_decide
cp7kjhx,acc,150.0,61,7446,14,0.58,0.12,18.0,0.4426229508196721,0.01639344262295082,1.0,0.20261226056819356,32.642857142857146,32.642857142857146,0.0,1
cp7kjhx,gyr,151.0,61,5765,14,0.2052980132450331,0.0,0.0,0.09836065573770492,0.0,0.0,0.8051734669758648,276.2142857142857,276.2142857142857,0.0,1
cp7kjhx,swp,0.0,0,0,0,,,,,,,,,,,1
cp7kjhx,tap,1401.0,599,20396,14,0.6645253390435403,0.20485367594575304,287.0,0.6894824707846411,0.09181969949916527,55.0,0.3773514630388594,20.857142857142858,0.0,20.857142857142858,1
cp7kjhx,all,,721,33607,14,,,,0.6185852981969486,0.07350901525658807,53.0,0.39090657006466933,28.428571428571427,3.2857142857142856,25.142857142857142,1
r13q05q,acc,739.0,227,6691,14,0.035182679296346414,0.0,0.0,0.004405286343612335,0.0,0.0,0.25974486021335524,31.571428571428573,31.571428571428573,0.0,1
r13q05q,gyr,640.0,273,5064,14,0.375,0.04375,28.0,0.18315018315018314,0.003663003663003663,1.0,0.07572805106740021,4.785714285714286,4.785714285714286,0.0,1
r13q05q,swp,0.0,0,0,0,,,,,,,,,,,1
r13q05q,tap,1401.0,599,20396,14,0.6374018558172734,0.12419700214132762,174.0,0.6377295492487479,0.05175292153589316,31.0,0.20683797826283842,8.428571428571429,0.0,8.428571428571429,1
r13q05q,all,,1099,32151,14,,,,0.3939945404913558,0.018198362147406732,20.0,0.22320893822180315,8.714285714285714,0.8571428571428571,7.857142857142857,1
hwx9u0h,acc,157.0,43,7457,14,0.24203821656050956,0.0,0.0,0.06976744186046512,0.0,0.0,0.07216100709677523,3.2142857142857144,3.2142857142857144,0.0,1
hwx9u0h,gyr,157.0,44,5776,14,0.2484076433121019,0.025477707006369428,4.0,0.45454545454545453,0.045454545454545456,2.0,0.3679240924355466,29.928571428571427,29.928571428571427,0.0,1
hwx9u0h,swp,0.0,0,0,0,,,,,,,,,,,1
hwx9u0h,tap,482.0,205,21709,14,0.6265560165975104,0.18672199170124482,90.0,0.6341463414634146,0.08292682926829269,17.0,0.5656796256123677,329.35714285714283,0.0,329.35714285714283,1
hwx9u0h,all,,292,34942,14,,,,0.523972602739726,0.05821917808219178,17.0,0.43512073492390024,44.857142857142854,4.714285714285714,40.142857142857146,1
vk43uke,acc,683.0,268,6706,14,0.04978038067349927,0.0,0.0,0.5298507462686567,0.19776119402985073,53.0,0.25098875551537925,76.42857142857143,76.42857142857143,0.0,1
vk43uke,gyr,617.0,265,5095,14,0.17990275526742303,0.009724473257698542,6.0,0.23018867924528302,0.007547169811320755,2.0,0.7484921445837703,129.92857142857142,129.92857142857142,0.0,1
vk43uke,swp,0.0,0,0,0,,,,,,,,,,,1
vk43uke,tap,1401.0,599,20396,14,0.6416845110635261,0.14989293361884368,210.0,0.6894824707846411,0.07011686143572621,42.0,0.2889512013725978,13.285714285714286,0.0,13.285714285714286,1
vk43uke,all,,1132,32197,14,,,,0.5441696113074205,0.08568904593639576,97.0,0.37225012629328197,13.071428571428571,1.2857142857142858,11.785714285714286,1
36z77qn,acc,223.0,247,7187,14,0.336322869955157,0.06278026905829596,14.0,0.02834008097165992,0.0,0.0,0.23573566042025104,23.928571428571427,23.928571428571427,0.0,1
36z77qn,gyr,173.0,67,5737,14,0.26011560693641617,0.03468208092485549,6.0,0.417910447761194,0.07462686567164178,5.0,0.3254585783943343,11.357142857142858,11.357142857142858,0.0,1
36z77qn,swp,0.0,0,0,0,,,,,,,,,,,1
36z77qn,tap,454.0,193,21749,14,0.5837004405286343,0.15638766519823788,71.0,0.6217616580310881,0.08808290155440414,17.0,0.19957646937141665,8.571428571428571,0.0,8.571428571428571,1
36z77qn,all,,507,34673,14,,,,0.3057199211045365,0.04142011834319527,21.0,0.2427197296801628,8.642857142857142,0.7142857142857143,7.928571428571429,1
b0602fr,acc,354.0,148,7155,14,0.0423728813559322,0.0,0.0,0.2972972972972973,0.02027027027027027,3.0,0.26103732979252914,4.714285714285714,4.714285714285714,0.0,1
b0602fr,gyr,355.0,148,5474,14,0.3971830985915493,0.07042253521126761,25.0,0.6418918918918919,0.12162162162162163,18.0,0.3124518665140204,12.071428571428571,12.071428571428571,0.0,1
b0602fr,swp,0.0,0,0,0,,,,,,,,,,,1
b0602fr,tap,1401.0,599,20396,14,0.6331192005710207,0.1841541755888651,258.0,0.6026711185308848,0.0667779632721202,40.0,0.2949254950376656,11.357142857142858,0.0,11.357142857142858,1
b0602fr,all,,895,33025,14,,,,0.5586592178770949,0.06256983240223464,56.0,0.2677581604839496,11.214285714285714,0.42857142857142855,10.785714285714286,1
ftk8v41,acc,505.0,216,6936,14,0.07524752475247524,0.0039603960396039604,2.0,0.1574074074074074,0.0,0.0,0.5953158350413112,157.21428571428572,157.21428571428572,0.0,1
ftk8v41,gyr,505.0,216,5256,14,0.37425742574257426,0.07128712871287128,36.0,0.5648148148148148,0.08333333333333333,18.0,0.5313493691871487,88.14285714285714,88.14285714285714,0.0,1
ftk8v41,swp,0.0,0,0,0,,,,,,,,,,,1
ftk8v41,tap,1401.0,599,20396,14,0.6074232690935046,0.1777301927194861,249.0,0.5792988313856428,0.06343906510851419,38.0,0.2805690117763107,9.214285714285714,0.0,9.214285714285714,1
ftk8v41,all,,1031,32588,14,,,,0.48787584869059164,0.04364694471387003,45.0,0.3848188482693796,12.071428571428571,1.7142857142857142,10.357142857142858,1
l1doqao,acc,661.0,3,6993,14,0.06959152798789713,0.0030257186081694403,2.0,0.3333333333333333,0.0,0.0,0.5062732924950458,181.85714285714286,181.85714285714286,0.0,1
l1doqao,gyr,213.0,65,5699,14,0.43661971830985913,0.08450704225352113,18.0,0.38461538461538464,0.015384615384615385,1.0,0.1119104618128224,5.214285714285714,5.214285714285714,0.0,1
l1doqao,swp,0.0,0,0,0,,,,,,,,,,,1
l1doqao,tap,730.0,311,21355,14,0.6191780821917808,0.1863013698630137,136.0,0.6720257234726688,0.09003215434083602,28.0,0.2567009245291865,7.785714285714286,0.0,7.785714285714286,1
l1doqao,all,,379,34047,14,,,,0.6200527704485488,0.07651715039577836,29.0,0.3051929932060708,8.428571428571429,0.8571428571428571,7.571428571428571,1
2cf0s6s,acc,503.0,181,6973,14,0.0636182902584493,0.0,0.0,1.0,0.4972375690607735,90.0,0.0,2.0,2.0,0.0,1
2cf0s6s,gyr,164.0,59,5754,14,0.2621951219512195,0.018292682926829267,3.0,0.5423728813559322,0.0847457627118644,5.0,0.057222360717831974,3.7142857142857144,3.7142857142857144,0.0,1
2cf0s6s,swp,0.0,0,0,0,,,,,,,,,,,1
2cf0s6s,tap,1215.0,520,20661,14,0.665843621399177,0.22798353909465022,277.0,0.7346153846153847,0.10384615384615385,54.0,0.22582929320394848,19.857142857142858,0.0,19.857142857142858,1
2cf0s6s,all,,760,33388,14,,,,0.7828947368421053,0.19078947368421054,145.0,0.14545682292217083,12.714285714285714,0.6428571428571429,12.071428571428571,1
n0g0zsv,acc,500.0,485,6672,14,0.036,0.004,2.0,0.002061855670103093,0.0,0.0,0.04905225154253023,2.142857142857143,2.142857142857143,0.0,1
n0g0zsv,gyr,641.0,257,5079,14,0.358814352574103,0.0436817472698908,28.0,0.4669260700389105,0.05058365758754864,13.0,0.02381950950130098,4.071428571428571,4.071428571428571,0.0,1
n0g0zsv,swp,0.0,0,0,0,,,,,,,,,,,1
n0g0zsv,tap,1401.0,599,20396,14,0.6102783725910065,0.18344039971448964,257.0,0.6327212020033389,0.08681135225375626,52.0,0.2153614343444912,7.214285714285714,0.0,7.214285714285714,1
n0g0zsv,all,,1341,32147,14,,,,0.37285607755406414,0.048471290082028336,65.0,0.16320908373639834,6.785714285714286,0.2857142857142857,6.5,1
0z9xv36,acc,163.0,64,7430,14,0.5766871165644172,0.08588957055214724,14.0,0.828125,0.125,8.0,0.0,4.0,4.0,0.0,1
