,FAR,FRR,FRR_Conf,MeanNumOfAttData,NumOfAcceptTL,NumOfOrgUserTstData,NumOfUnlocks
count,240.0,240.0,240.0,240.0,240.0,240.0,240.0
mean,0.23290712170796327,0.4162827061988598,0.0983735368064395,180.37499999999972,6.25,18.0375,1.4916666666666667
std,0.2595579083762174,0.1771843464012268,0.08571442674591684,2.6756554811777833,21.511405946010562,6.167353141330117,1.146184015057696
min,0.0,0.03571428571428571,0.0,175.7391304347826,2.0,7.0,0.0
25%,0.021505376344086023,0.2951388888888889,0.03571428571428571,177.75,2.0,12.75,1.0
50%,0.12186379928315412,0.4,0.08333333333333333,180.47826086956522,2.0,18.0,1.0
75%,0.42473118279569894,0.5426136363636364,0.15384615384615385,182.68478260869563,2.0,24.0,2.0
max,0.9217391304347826,1.0,0.42857142857142855,184.82608695652175,115.0,29.0,6.0
