,FAR,FRR,FRR_Conf,MeanNumOfAttData,NumOfAcceptTL,NumOfOrgUserTstData,NumOfUnlocks
count,240.0,240.0,240.0,240.0,240.0,240.0,240.0
mean,0.17839609328579925,0.08378133334924136,0.0017420026759107218,294.4583333333334,2.0,29.445833333333333,0.041666666666666664
std,0.15984185981977642,0.06552530866717007,0.009650887122608687,5.428742929902662,0.0,12.493897394568167,0.22014956244921974
min,0.0,0.0,0.0,274.82608695652175,2.0,19.0,0.0
25%,0.04411764705882353,0.04,0.0,293.67391304347825,2.0,21.0,0.0
50%,0.16666666666666666,0.07019704433497537,0.0,295.7608695652174,2.0,26.0,0.0
75%,0.2610294117647059,0.11653846153846154,0.0,298.1630434782609,2.0,31.25,0.0
max,0.6764705882352942,0.3,0.1,298.8695652173913,2.0,75.0,2.0
