,FAR,FRR,FRR_Conf,MeanNumOfAttData,NumOfAcceptTL,NumOfOrgUserTstData,NumOfUnlocks
count,240.0,240.0,240.0,240.0,240.0,240.0,240.0
mean,0.11231267853219046,0.07147469708327106,0.0010710139318885448,308.9583333333333,2.720833333333333,30.895833333333332,0.025
std,0.1358334169373818,0.060606291333412096,0.006847734324534214,5.173370766143223,2.718521498036371,11.906960770231045,0.15645123025306876
min,0.0,0.0,0.0,292.1304347826087,2.0,19.0,0.0
25%,0.024390243902439025,0.02888198757763975,0.0,307.69565217391306,2.0,22.75,0.0
50%,0.06829268292682927,0.06060606060606061,0.0,310.7608695652174,2.0,27.0,0.0
75%,0.11485387826851241,0.10390199637023594,0.0,312.3478260869565,2.0,34.25,0.0
max,0.5609756097560976,0.3333333333333333,0.05263157894736842,314.0,15.0,70.0,1.0
