OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
v90gnf6,acc,117,41,421,4,0.5555555555555556,0.06837606837606838,8.0,0.8048780487804879,0.21951219512195122,9.0,0.7129772081291362,60.75
v90gnf6,gyr,117,41,383,4,0.5555555555555556,0.09401709401709402,11.0,0.43902439024390244,0.0,0.0,0.45014993625369354,17.0
v90gnf6,swp,1401,599,4400,4,0.5538900785153462,0.059957173447537475,84.0,0.4373956594323873,0.021702838063439065,13.0,0.0379644134033861,2.0
v90gnf6,tap,0,0,0,0,,,,,,,,
v90gnf6,fnl,465,159,1447,4,0.5075268817204301,,,0.6352201257861635,,,0.06880744934006588,
uui53he,acc,88,41,450,4,0.5568181818181818,0.06818181818181818,6.0,0.7560975609756098,0.17073170731707318,7.0,0.4535122095346459,17.5
uui53he,gyr,88,41,412,4,0.5454545454545454,0.06818181818181818,6.0,0.6341463414634146,0.07317073170731707,3.0,0.5428007940607219,41.0
uui53he,swp,1031,441,4928,4,0.5567410281280311,0.05140640155189137,53.0,0.3922902494331066,0.015873015873015872,7.0,0.11250744797357126,4.75
uui53he,tap,0,0,0,0,,,,,,,,
uui53he,fnl,337,132,1602,4,0.4658753709198813,,,0.696969696969697,,,0.10592191996399146,
k9ptsb2,acc,62,27,490,4,0.5645161290322581,0.11290322580645161,7.0,0.07407407407407407,0.0,0.0,0.08001332708532338,3.0
k9ptsb2,gyr,62,27,452,4,0.5483870967741935,0.06451612903225806,4.0,0.3333333333333333,0.0,0.0,0.2871416902082505,4.0
k9ptsb2,swp,990,423,4987,4,0.5525252525252525,0.0696969696969697,69.0,0.3806146572104019,0.018912529550827423,8.0,0.14564382961188574,3.0
k9ptsb2,tap,0,0,0,0,,,,,,,,
k9ptsb2,fnl,219,128,1726,4,0.5114155251141552,,,0.7734375,,,0.0786899096386738,
3ypgstx,acc,40,17,523,4,0.525,0.05,2.0,0.7647058823529411,0.29411764705882354,5.0,0.1289854857972865,2.0
3ypgstx,gyr,40,17,484,4,0.575,0.05,2.0,0.6470588235294118,0.058823529411764705,1.0,0.1402640358785156,5.25
3ypgstx,swp,262,111,6027,4,0.5572519083969466,0.05725190839694656,15.0,0.5945945945945946,0.06306306306306306,7.0,0.21244128896879974,5.25
3ypgstx,tap,0,0,0,0,,,,,,,,
3ypgstx,fnl,127,48,1893,4,0.47244094488188976,,,0.4583333333333333,,,0.10281318748024557,
508rk86,acc,94,53,432,4,0.5319148936170213,0.0851063829787234,8.0,0.5660377358490566,0.11320754716981132,6.0,0.5067136286415814,33.5
508rk86,gyr,72,36,433,4,0.5694444444444444,0.09722222222222222,7.0,0.3611111111111111,0.0,0.0,0.5671492863016561,27.0
508rk86,swp,800,342,5258,4,0.55125,0.06375,51.0,0.43567251461988304,0.03216374269005848,11.0,0.4619743815663497,15.25
508rk86,tap,0,0,0,0,,,,,,,,
508rk86,fnl,336,154,1600,4,0.5119047619047619,,,0.6428571428571429,,,0.39754735901843796,
