OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
ipuyiii,acc,216,92,4631,14,0.26851851851851855,0.004629629629629629,1.0,0.41304347826086957,0.03260869565217391,3.0,0.022772408622180666,4.142857142857143
ipuyiii,gyr,215,92,4574,14,0.641860465116279,0.11627906976744186,25.0,0.8369565217391305,0.29347826086956524,27.0,0.08903541056351173,3.2142857142857144
ipuyiii,swp,0,0,0,0,,,,,,,,
ipuyiii,tap,1094,467,18975,14,0.7477148080438757,0.28153564899451555,308.0,0.7815845824411135,0.30620985010706636,143.0,0.19049857911751608,3.5714285714285716
ipuyiii,all,1525,651,28180,14,0.6649180327868852,0.21180327868852458,323.0,0.7373271889400922,0.261136712749616,170.0,0.14788179413907912,3.5714285714285716
ioxyr9y,acc,364,153,4422,14,0.27197802197802196,0.005494505494505495,2.0,0.26143790849673204,0.006535947712418301,1.0,0.26760630731499757,10.928571428571429
ioxyr9y,gyr,365,153,4363,14,0.6493150684931507,0.14246575342465753,52.0,0.5424836601307189,0.08496732026143791,13.0,0.11545456716113359,4.428571428571429
ioxyr9y,swp,0,0,0,0,,,,,,,,
ioxyr9y,tap,1401,599,18536,14,0.7309064953604568,0.2698072805139186,378.0,0.7712854757929883,0.3088480801335559,185.0,0.2971872309817559,7.0
ioxyr9y,all,2130,905,27321,14,0.6384976525821596,0.19812206572769953,422.0,0.6464088397790055,0.2154696132596685,195.0,0.26369600097368145,6.357142857142857
3pmv9aq,acc,295,126,4518,14,0.2983050847457627,0.003389830508474576,1.0,0.49206349206349204,0.07142857142857142,9.0,0.08703731551906045,8.571428571428571
3pmv9aq,gyr,294,126,4461,14,0.6462585034013606,0.14625850340136054,43.0,0.8015873015873016,0.2857142857142857,36.0,0.22768075310128882,7.714285714285714
3pmv9aq,swp,0,0,0,0,,,,,,,,
3pmv9aq,tap,1401,599,18536,14,0.7430406852248393,0.28051391862955033,393.0,0.659432387312187,0.21202003338898165,127.0,0.15800278685245647,2.0714285714285716
3pmv9aq,all,1990,851,27515,14,0.6628140703517588,0.2135678391959799,425.0,0.6556991774383079,0.19858989424206816,169.0,0.16021952808194806,2.0714285714285716
6jtbpdh,acc,410,169,4360,14,0.2634146341463415,0.01951219512195122,8.0,0.6804733727810651,0.1952662721893491,33.0,0.09235147948516184,12.928571428571429
6jtbpdh,gyr,409,169,4303,14,0.6601466992665037,0.11246943765281174,46.0,0.8284023668639053,0.25443786982248523,43.0,0.12089557374796436,5.142857142857143
6jtbpdh,swp,0,0,0,0,,,,,,,,
6jtbpdh,tap,1401,599,18536,14,0.7694503925767309,0.2676659528907923,375.0,0.7612687813021702,0.27545909849749584,165.0,0.2271415948652306,4.142857142857143
6jtbpdh,all,2220,937,27199,14,0.6558558558558558,0.18243243243243243,405.0,0.7588046958377801,0.25827107790821774,242.0,0.18883529267452706,4.142857142857143
uui53he,acc,460,194,4285,14,0.2826086956521739,0.021739130434782608,10.0,0.4175257731958763,0.061855670103092786,12.0,0.1621966856420222,6.357142857142857
uui53he,gyr,458,194,4229,14,0.6528384279475983,0.12882096069868995,59.0,0.7010309278350515,0.14948453608247422,29.0,0.19530152021414912,6.285714285714286
uui53he,swp,0,0,0,0,,,,,,,,
uui53he,tap,1401,599,18536,14,0.7380442541042113,0.25196288365453245,353.0,0.7278797996661102,0.25041736227045075,150.0,0.3215507318532302,4.285714285714286
uui53he,all,2319,987,27050,14,0.6308753773178094,0.17378180250107805,403.0,0.6616008105369807,0.19148936170212766,189.0,0.2740483131182547,4.285714285714286
3zd4fdk,acc,152,59,4728,14,0.2894736842105263,0.0,0.0,0.7627118644067796,0.2711864406779661,16.0,0.0,2.0
3zd4fdk,gyr,148,64,4669,14,0.6283783783783784,0.08783783783783784,13.0,0.859375,0.328125,21.0,0.03985474446010301,2.642857142857143
3zd4fdk,swp,0,0,0,0,,,,,,,,
3zd4fdk,tap,636,271,19629,14,0.7484276729559748,0.2751572327044025,175.0,0.6863468634686347,0.23247232472324722,63.0,0.3183376907549342,10.714285714285714
3zd4fdk,all,936,394,29026,14,0.6549145299145299,0.19658119658119658,184.0,0.7258883248730964,0.2563451776649746,101.0,0.22544242621097577,5.714285714285714
v2x6zpt,acc,90,38,4811,14,0.3111111111111111,0.0,0.0,0.7105263157894737,0.21052631578947367,8.0,0.015608875825962923,2.2142857142857144
v2x6zpt,gyr,89,38,4754,14,0.6404494382022472,0.11235955056179775,10.0,0.9210526315789473,0.3684210526315789,14.0,0.03263476942767158,2.9285714285714284
v2x6zpt,swp,0,0,0,0,,,,,,,,
v2x6zpt,tap,494,211,19831,14,0.7388663967611336,0.25708502024291496,127.0,0.7819905213270142,0.3175355450236967,67.0,0.1500110838902005,3.0714285714285716
v2x6zpt,all,673,287,29396,14,0.6686478454680534,0.1961367013372957,132.0,0.7909407665505227,0.3170731707317073,91.0,0.1095961203199923,3.142857142857143
