OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
sqhkewt,gyr,116,49,5812,14,0.24137931,0.017241378999999998,2.0,0.204081633,0.0,0.0,0.269695929,25.42857143,0.25,0.0005
sqhkewt,swp,0,0,0,0,,,,,,,,,0.1,0.0005
sqhkewt,tap,380,162,21854,14,0.410526316,0.005263158,2.0,0.5,0.037037037,6.0,0.268601828,27.85714286,0.4,0.5
l1doqao,acc,661,3,6993,14,0.009077156,0.0,0.0,0.333333333,0.0,0.0,0.67645844,184.6428571,0.01,5e-05
l1doqao,gyr,213,65,5699,14,0.244131455,0.042253521,9.0,0.246153846,0.0,0.0,0.262994768,11.35714286,0.25,0.0005
l1doqao,swp,0,0,0,0,,,,,,,,,0.1,0.0005
l1doqao,tap,730,311,21355,14,0.391780822,0.012328767,9.0,0.411575563,0.009646302,3.0,0.4304272,57.28571429,0.4,0.5
r13q05q,acc,739,227,6691,14,0.00947226,0.0,0.0,0.004405286,0.0,0.0,0.396711086,104.5,0.01,5e-05
r13q05q,gyr,640,273,5064,14,0.25,0.0140625,9.0,0.124542125,0.010989011000000002,3.0,0.228277962,11.64285714,0.25,0.0005
r13q05q,swp,0,0,0,0,,,,,,,,,0.1,0.0005
r13q05q,tap,1401,599,20396,14,0.39971449,0.009279086,13.0,0.41903172,0.010016694,6.0,0.265777659,6.071428571,0.4,0.5
vk43uke,acc,683,268,6706,14,0.011713031,0.0,0.0,0.432835821,0.152985075,41.0,0.291155548,93.07142857,0.01,0.0008
vk43uke,gyr,617,265,5095,14,0.249594814,0.025931929,16.0,0.313207547,0.022641509,6.0,0.686520045,100.6428571,0.25,0.004
vk43uke,swp,0,0,0,0,,,,,,,,,0.1,0.004
vk43uke,tap,1401,599,20396,14,0.395431834,0.010706638,15.0,0.395659432,0.010016694,6.0,0.544326022,87.28571429,0.4,0.525
r2p4ljs,acc,131,54,7472,14,0.030534351,0.0,0.0,0.074074074,0.0,0.0,0.8883385340000001,393.5714286000001,0.01,0.0008
r2p4ljs,gyr,130,54,5793,14,0.246153846,0.0,0.0,0.518518519,0.12962963,7.0,0.34360303299999995,18.78571429,0.25,0.004
r2p4ljs,swp,0,0,0,0,,,,,,,,,0.1,0.004
r2p4ljs,tap,1401,599,20396,14,0.41184868,0.017130621000000002,24.0,0.410684474,0.011686144,7.0,0.425399421,55.28571429,0.4,0.525
4su8oxl,acc,160,64,7433,14,0.01875,0.0,0.0,0.421875,0.140625,9.0,0.000569152,2.0,0.01,0.0008
4su8oxl,gyr,158,62,5757,14,0.240506329,0.025316456,4.0,0.403225806,0.096774194,6.0,0.007920881,2.571428571,0.25,0.004
4su8oxl,swp,0,0,0,0,,,,,,,,,0.1,0.004
4su8oxl,tap,646,276,21474,14,0.410216718,0.015479876000000004,10.0,0.583333333,0.039855072000000005,11.0,0.340220229,20.42857143,0.4,0.525
cp7kjhx,acc,150,61,7446,14,0.013333333,0.0,0.0,0.0,0.0,0.0,0.8003593179999999,239.5714286,0.01,0.0008
cp7kjhx,gyr,151,61,5765,14,0.25827814600000004,0.0,0.0,0.180327869,0.0,0.0,0.7383168929999999,141.78571430000005,0.25,0.004
cp7kjhx,swp,0,0,0,0,,,,,,,,,0.1,0.004
cp7kjhx,tap,1401,599,20396,14,0.392576731,0.010706638,15.0,0.474123539,0.026711185,16.0,0.68049412,519.8571429,0.4,0.525
ftk8v41,acc,505,216,6936,14,0.013861386000000002,0.0,0.0,0.00462963,0.0,0.0,0.74264453,190.8571429,0.01,0.0008
ftk8v41,gyr,505,216,5256,14,0.24950495,0.03960396,20.0,0.351851852,0.023148148,5.0,0.658185157,101.3571429,0.25,0.004
ftk8v41,swp,0,0,0,0,,,,,,,,,0.1,0.004
ftk8v41,tap,1401,599,20396,14,0.3875803,0.007851535,11.0,0.332220367,0.001669449,1.0,0.4649862970000001,70.21428571,0.4,0.525
0z9xv36,acc,163,64,7430,14,0.030674847,0.0,0.0,0.46875,0.15625,10.0,0.0,2.0,0.01,0.0008
0z9xv36,gyr,163,64,5750,14,0.257668712,0.0,0.0,0.28125,0.015625,1.0,0.008880347,2.0,0.25,0.004
0z9xv36,swp,0,0,0,0,,,,,,,,,0.1,0.004
0z9xv36,tap,1401,599,20396,14,0.404710921,0.055674518,78.0,0.183639399,0.0,0.0,0.528775497,291.0714286000001,0.4,0.525
n0g0zsv,acc,500,485,6672,14,0.012,0.0,0.0,0.0,0.0,0.0,0.115176773,2.571428571,0.01,0.0008
n0g0zsv,gyr,641,257,5079,14,0.249609984,0.023400936,15.0,0.33463035,0.007782101,2.0,0.060123989,5.785714286,0.25,0.004
n0g0zsv,swp,0,0,0,0,,,,,,,,,0.1,0.004
n0g0zsv,tap,1401,599,20396,14,0.443254818,0.014989293,21.0,0.447412354,0.015025042,9.0,0.289796278,19.5,0.4,0.525
b1qt6gb,acc,83,28,7546,14,0.048192771,0.0,0.0,0.0,0.0,0.0,0.102079327,2.0,0.01,0.0008
b1qt6gb,gyr,82,28,5867,14,0.25609756100000003,0.024390244,2.0,0.14285714300000002,0.0,0.0,0.416361918,37.92857143,0.25,0.004
b1qt6gb,swp,0,0,0,0,,,,,,,,,0.1,0.004
b1qt6gb,tap,576,246,21574,14,0.4010416670000001,0.006944444,4.0,0.25609756100000003,0.0,0.0,0.644968962,295.5714286000001,0.4,0.525
