OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG,num_of_clf_that_decide
r13q05q,acc,689.0,278,8077,14,0.01451378809869376,0.001451378809869376,1.0,0.24100719424460432,0.1079136690647482,30.0,0.010093699396943262,2.0,2.0,0.0,1
r13q05q,gyr,524.0,212,7856,14,0.12022900763358779,0.0019083969465648854,1.0,0.16037735849056603,0.0,0.0,0.39665660513663453,18.214285714285715,18.214285714285715,0.0,1
r13q05q,swp,262.0,111,18379,14,0.011450381679389313,0.0,0.0,0.0,0.0,0.0,0.563412884192558,150.64285714285714,0.0,150.64285714285714,1
r13q05q,tap,0.0,0,0,0,,,,,,,,,,,1
r13q05q,all,,601,34312,14,,,,0.16805324459234608,0.03826955074875208,23.0,0.393488606639896,34.5,2.2142857142857144,32.285714285714285,1
3zd4fdk,acc,511.0,215,8318,14,0.04500978473581213,0.0,0.0,0.07441860465116279,0.0,0.0,0.15356641932133744,15.714285714285714,15.714285714285714,0.0,1
3zd4fdk,gyr,510.0,215,7867,14,0.36666666666666664,0.058823529411764705,30.0,0.3953488372093023,0.04186046511627907,9.0,0.35492976875876037,12.357142857142858,12.357142857142858,0.0,1
3zd4fdk,swp,1401.0,599,16752,14,0.10206995003568879,0.0,0.0,0.10851419031719532,0.0,0.0,0.12983898298452046,24.857142857142858,0.0,24.857142857142858,1
3zd4fdk,tap,0.0,0,0,0,,,,,,,,,,,1
3zd4fdk,all,,1029,32937,14,,,,0.16132167152575316,0.0009718172983479105,1.0,0.19282774628441451,20.0,9.571428571428571,10.428571428571429,1
vk43uke,acc,683.0,260,8101,14,0.03074670571010249,0.0,0.0,0.07692307692307693,0.0,0.0,0.12186816553463434,13.285714285714286,13.285714285714286,0.0,1
vk43uke,gyr,540.0,206,7846,14,0.387037037037037,0.07037037037037037,38.0,0.6019417475728155,0.10679611650485436,22.0,0.26327068347469373,12.285714285714286,12.285714285714286,0.0,1
vk43uke,swp,539.0,230,17983,14,0.03710575139146568,0.0,0.0,0.08260869565217391,0.0,0.0,0.6604286422655358,358.85714285714283,0.0,358.85714285714283,1
vk43uke,tap,0.0,0,0,0,,,,,,,,,,,1
vk43uke,all,,696,33930,14,,,,0.23419540229885058,0.01867816091954023,13.0,0.44756811655787115,18.714285714285715,4.0,14.714285714285714,1
z8c5rtb,acc,294.0,120,8630,14,0.10884353741496598,0.0,0.0,0.31666666666666665,0.03333333333333333,4.0,0.4251988477568376,49.0,49.0,0.0,1
z8c5rtb,gyr,295.0,121,8176,14,0.2033898305084746,0.003389830508474576,1.0,0.17355371900826447,0.0,0.0,0.5353543734327776,32.214285714285715,32.214285714285715,0.0,1
z8c5rtb,swp,300.0,127,18325,14,0.06,0.0,0.0,0.023622047244094488,0.0,0.0,0.676069141827068,547.8571428571429,0.0,547.8571428571429,1
z8c5rtb,tap,0.0,0,0,0,,,,,,,,,,,1
z8c5rtb,all,,368,35131,14,,,,0.16847826086956522,0.0,0.0,0.573282111311762,214.35714285714286,77.78571428571429,136.57142857142858,1
z8taipm,acc,506.0,217,8321,14,0.025691699604743084,0.0,0.0,0.04608294930875576,0.0,0.0,0.6041535761466964,255.35714285714286,255.35714285714286,0.0,1
z8taipm,gyr,505.0,217,7870,14,0.3188118811881188,0.04554455445544554,23.0,0.31336405529953915,0.018433179723502304,4.0,0.5064980306674058,21.857142857142858,21.857142857142858,0.0,1
z8taipm,swp,1401.0,599,16752,14,0.042112776588151324,0.0,0.0,0.035058430717863104,0.0,0.0,0.8640713384202299,996.0,0.0,996.0,1
z8taipm,tap,0.0,0,0,0,,,,,,,,,,,1
z8taipm,all,,1033,32943,14,,,,0.09583736689254599,0.0,0.0,0.7179684761069277,370.07142857142856,236.0,134.07142857142858,1
