OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
855whqe,acc,88.0,37,7837,14,0.3068181818181818,0.0,0.0,0.3783783783783784,0.02702702702702703,1.0,0.02060331424425384,3.7857142857142856,3.7857142857142856,0.0
855whqe,gyr,88.0,37,7666,14,0.6022727272727273,0.056818181818181816,5.0,0.8378378378378378,0.16216216216216217,6.0,0.04112329265838409,5.5,5.5,0.0
855whqe,swp,254.0,108,11508,14,0.49606299212598426,0.031496062992125984,8.0,0.4722222222222222,0.027777777777777776,3.0,0.010088685558491097,4.285714285714286,0.0,4.285714285714286
855whqe,tap,0.0,0,0,0,,,,,,,,,,
855whqe,all,,182,27011,14,,,,0.5274725274725275,0.04945054945054945,9.0,0.021717072113217852,4.285714285714286,1.2142857142857142,3.0714285714285716
z8taipm,acc,206.0,80,7676,14,0.2912621359223301,0.0048543689320388345,1.0,0.55,0.0875,7.0,0.07264658297891649,8.571428571428571,8.571428571428571,0.0
z8taipm,gyr,207.0,80,7504,14,0.642512077294686,0.14492753623188406,30.0,0.7875,0.1125,9.0,0.23939551033323392,13.571428571428571,13.571428571428571,0.0
z8taipm,swp,217.0,91,11562,14,0.4930875576036866,0.03686635944700461,8.0,0.7362637362637363,0.0989010989010989,9.0,0.10889614328910664,6.428571428571429,0.0,6.428571428571429
z8taipm,tap,0.0,0,0,0,,,,,,,,,,
z8taipm,all,,251,26742,14,,,,0.6932270916334662,0.10358565737051793,26.0,0.13774323842896571,5.714285714285714,1.0714285714285714,4.642857142857143
l1doqao,acc,632.0,262,7068,14,0.27848101265822783,0.00949367088607595,6.0,0.31297709923664124,0.007633587786259542,2.0,0.020053644433025763,3.4285714285714284,3.4285714285714284,0.0
l1doqao,gyr,632.0,262,6897,14,0.6582278481012658,0.16139240506329114,102.0,0.7862595419847328,0.09541984732824428,25.0,0.026433166126362095,6.857142857142857,6.857142857142857,0.0
l1doqao,swp,742.0,317,10811,14,0.48921832884097033,0.05929919137466307,44.0,0.6593059936908517,0.07255520504731862,23.0,0.006144466309686569,4.214285714285714,0.0,4.214285714285714
l1doqao,tap,0.0,0,0,0,,,,,,,,,,
l1doqao,all,,841,24776,14,,,,0.5909631391200951,0.052318668252080855,44.0,0.01894706706834048,3.9285714285714284,1.0714285714285714,2.857142857142857
r13q05q,acc,748.0,226,6988,14,0.2339572192513369,0.001336898395721925,1.0,0.20353982300884957,0.01327433628318584,3.0,0.03055159427250687,4.714285714285714,4.714285714285714,0.0
r13q05q,gyr,646.0,254,6891,14,0.6656346749226006,0.12229102167182662,79.0,0.7047244094488189,0.05511811023622047,14.0,0.04490809069429407,7.571428571428571,7.571428571428571,0.0
r13q05q,swp,357.0,152,11361,14,0.48179271708683474,0.05042016806722689,18.0,0.5328947368421053,0.02631578947368421,4.0,0.017412902422337503,4.071428571428571,0.0,4.071428571428571
r13q05q,tap,0.0,0,0,0,,,,,,,,,,
r13q05q,all,,632,25240,14,,,,0.48417721518987344,0.03639240506329114,23.0,0.031213927878081665,3.9285714285714284,1.0714285714285714,2.857142857142857
ap1oez8,acc,145.0,55,7762,14,0.30344827586206896,0.0,0.0,0.9636363636363636,0.21818181818181817,12.0,0.002355944932889661,3.0,3.0,0.0
ap1oez8,gyr,144.0,56,7591,14,0.6458333333333334,0.10416666666666667,15.0,0.625,0.05357142857142857,3.0,0.10314656693766602,9.571428571428571,9.571428571428571,0.0
ap1oez8,swp,253.0,107,11510,14,0.4901185770750988,0.03162055335968379,8.0,0.9626168224299065,0.17757009345794392,19.0,0.013127174953022054,4.214285714285714,0.0,4.214285714285714
ap1oez8,tap,0.0,0,0,0,,,,,,,,,,
ap1oez8,all,,218,26863,14,,,,0.8761467889908257,0.16055045871559634,35.0,0.036709886952972545,4.0,1.0714285714285714,2.9285714285714284
