case,mean_std,overlap,screen,sensor,window
case2,0.013323873838243872,0.0,Reacton,acc,500.0
case2,0.01330793132458954,0.3,Reacton,acc,500.0
case2,0.013288553135043426,0.9,Reacton,acc,500.0
case2,0.012403801801228551,0.0,Reacton,acc,1000.0
case2,0.012496207803952357,0.3,Reacton,acc,1000.0
case2,0.01241787235965083,0.9,Reacton,acc,1000.0
case2,0.01185230279622504,0.0,Reacton,acc,1500.0
case2,0.011895585279400493,0.3,Reacton,acc,1500.0
case2,0.011973559249101264,0.9,Reacton,acc,1500.0
case2,0.03617980871961662,0.0,Reacton,gyr,50.0
case2,0.03604813469728539,0.3,Reacton,gyr,50.0
case2,0.03614614031990503,0.9,Reacton,gyr,50.0
case2,0.022643411096969268,0.0,Reacton,gyr,200.0
case2,0.023378029566861087,0.3,Reacton,gyr,200.0
case2,0.02370993676141092,0.9,Reacton,gyr,200.0
case2,0.01801523138509609,0.0,Reacton,gyr,500.0
case2,0.01777041115269016,0.3,Reacton,gyr,500.0
case2,0.017772629927497598,0.9,Reacton,gyr,500.0
case2,0.014457417507288357,0.0,Reacton,gyr,1000.0
case2,0.01353940186530964,0.3,Reacton,gyr,1000.0
case2,0.014709052776316293,0.9,Reacton,gyr,1000.0
case2,0.01295256776068307,0.0,Reacton,gyr,1500.0
case2,0.013141642185887639,0.3,Reacton,gyr,1500.0
case2,0.01334341469299347,0.9,Reacton,gyr,1500.0
case2,41.16389728763723,0.0,Memoria,acc,50.0
case2,34.44060997861916,0.3,Memoria,acc,50.0
case2,41.16400600499642,0.9,Memoria,acc,50.0
case2,20.58106011545443,0.0,Memoria,acc,200.0
case2,17.220641978006643,0.3,Memoria,acc,200.0
case2,20.5822217199543,0.9,Memoria,acc,200.0
case2,13.015557533681653,0.0,Memoria,acc,500.0
case2,15.401243951509677,0.3,Memoria,acc,500.0
case2,13.017660683500539,0.9,Memoria,acc,500.0
case2,9.20352850511071,0.0,Memoria,acc,1000.0
case2,10.888702561605687,0.3,Memoria,acc,1000.0
case2,9.205220123768969,0.9,Memoria,acc,1000.0
case2,7.514723106060307,0.0,Memoria,acc,1500.0
case2,8.89222361499606,0.3,Memoria,acc,1500.0
case2,7.51631722472481,0.9,Memoria,acc,1500.0
case2,0.0296956533694953,0.0,Memoria,gyr,50.0
case2,0.029925605217034242,0.3,Memoria,gyr,50.0
case2,0.02992374914118034,0.9,Memoria,gyr,50.0
case2,0.020382959855560937,0.0,Memoria,gyr,200.0
case2,0.020565700579714446,0.3,Memoria,gyr,200.0
case2,0.020403741456047172,0.9,Memoria,gyr,200.0
case2,0.017979925023450003,0.0,Memoria,gyr,500.0
case2,0.017991947495822287,0.3,Memoria,gyr,500.0
case2,0.017991511155762016,0.9,Memoria,gyr,500.0
case2,0.01698269911802797,0.0,Memoria,gyr,1000.0
case2,0.01691576559735863,0.3,Memoria,gyr,1000.0
case2,0.01699666144542183,0.9,Memoria,gyr,1000.0
case2,0.016476936316931746,0.0,Memoria,gyr,1500.0
case2,0.016599684578066754,0.3,Memoria,gyr,1500.0
case2,0.01653233966683781,0.9,Memoria,gyr,1500.0
case2,0.016529425975767738,0.0,Speedy,acc,50.0
case2,0.016605735917432356,0.3,Speedy,acc,50.0
case2,0.016583585016913385,0.9,Speedy,acc,50.0
case2,0.01333772357695747,0.0,Speedy,acc,200.0
case2,0.013341519728232352,0.3,Speedy,acc,200.0
case2,0.013355729369585621,0.9,Speedy,acc,200.0
case2,0.011925819660932048,0.0,Speedy,acc,500.0
case2,0.011909912099199381,0.3,Speedy,acc,500.0
case2,0.011927430012432367,0.9,Speedy,acc,500.0
case2,0.011164724945067712,0.0,Speedy,acc,1000.0
case2,0.011079473757506246,0.3,Speedy,acc,1000.0
case2,0.011143597745157252,0.9,Speedy,acc,1000.0
case2,0.010683043906746329,0.0,Speedy,acc,1500.0
case2,0.010771257030031147,0.3,Speedy,acc,1500.0
case2,0.010752767064636647,0.9,Speedy,acc,1500.0
case2,0.04153937872931624,0.0,Speedy,gyr,50.0
case2,0.040897906661860134,0.3,Speedy,gyr,50.0
case2,0.04121920307168165,0.9,Speedy,gyr,50.0
case2,0.028105171926283336,0.0,Speedy,gyr,200.0
case2,0.026884182977181644,0.3,Speedy,gyr,200.0
case2,0.02685454422731036,0.9,Speedy,gyr,200.0
case2,0.022459270750643096,0.0,Speedy,gyr,500.0
case2,0.022336226152410755,0.3,Speedy,gyr,500.0
case2,0.022482907488997693,0.9,Speedy,gyr,500.0
case2,0.020720088246705497,0.0,Speedy,gyr,1000.0
case2,0.021026221122462843,0.3,Speedy,gyr,1000.0
case2,0.02087610393955967,0.9,Speedy,gyr,1000.0
case2,0.020242634249618443,0.0,Speedy,gyr,1500.0
case2,0.02017274858125767,0.3,Speedy,gyr,1500.0
case2,0.02019138987948772,0.9,Speedy,gyr,1500.0
