OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
2cf0s6s,acc,152,25,1751,14,0.506578947368421,0.13815789473684212,21.0,0.0,0.0,0.0,0.0,2.0
2cf0s6s,gyr,10,5,695,14,0.7,0.1,1.0,0.0,0.0,0.0,0.0,2.0
2cf0s6s,swp,0,0,0,0,,,,,,,,
2cf0s6s,tap,1215,520,20661,14,0.4831275720164609,0.030452674897119343,37.0,0.4480769230769231,0.01730769230769231,9.0,0.4879213261371283,114.35714285714286
2cf0s6s,all,1377,550,23107,14,0.48729121278140886,0.03776325344952796,52.0,0.42363636363636364,0.014545454545454545,8.0,0.4323379846462034,80.42857142857143
hwx9u0h,acc,7,3,1918,14,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hwx9u0h,gyr,7,3,700,14,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.02425301054282174,2.5714285714285716
hwx9u0h,swp,0,0,0,0,,,,,,,,
hwx9u0h,tap,482,205,21709,14,0.516597510373444,0.03941908713692946,19.0,0.4682926829268293,0.06829268292682927,14.0,0.6775817271110062,653.5
hwx9u0h,all,496,211,24327,14,0.5161290322580645,0.038306451612903226,19.0,0.4549763033175355,0.06635071090047394,14.0,0.6027815105559056,385.2142857142857
0z9xv36,acc,30,13,1885,14,0.5333333333333333,0.0,0.0,0.6153846153846154,0.0,0.0,0.006393195806461112,2.0
0z9xv36,gyr,30,13,667,14,0.4666666666666667,0.0,0.0,0.23076923076923078,0.0,0.0,0.00048590864917395527,2.0
0z9xv36,swp,0,0,0,0,,,,,,,,
0z9xv36,tap,1401,599,20396,14,0.5074946466809421,0.06281227694503926,88.0,0.7095158597662772,0.10517529215358931,63.0,0.4575824070476094,247.42857142857142
